"[0.6752365231513977, 0.7341744303703308, 0.0]","[0.5941469669342041, 0.7684355974197388, -0.06956417113542557]","[0.5089529752731323, 0.6338642239570618, -0.0888182669878006]","[0.4908949136734009, 0.49417170882225037, -0.1008298397064209]","[0.5032945871353149, 0.42520010471343994, -0.10459128767251968]","[0.5641067028045654, 0.5061492323875427, -0.03027457371354103]","[0.5332956314086914, 0.42893582582473755, -0.0723302885890007]","[0.5508730411529541, 0.5322460532188416, -0.07622112333774567]","[0.5693952441215515, 0.5708552002906799, -0.07162535935640335]","[0.6160153746604919, 0.49518778920173645, -0.009499604813754559]","[0.5785713791847229, 0.4124961495399475, -0.06002356484532356]","[0.5965366959571838, 0.564787745475769, -0.051175229251384735]","[0.6127422451972961, 0.578696072101593, -0.027941079810261726]","[0.6668306589126587, 0.4956885874271393, -0.0029568555764853954]","[0.6345879435539246, 0.42029058933258057, -0.05918749421834946]","[0.6415141820907593, 0.5669829249382019, -0.04506633058190346]","[0.6620537638664246, 0.5921564698219299, -0.016840221360325813]","[0.7257614135742188, 0.492107093334198, -0.002792166778817773]","[0.6931822299957275, 0.4376983046531677, -0.03559207171201706]","[0.6918260455131531, 0.5360925793647766, -0.03028934821486473]","[0.7121289968490601, 0.5577701926231384, -0.011700496077537537]"
"[0.33537447452545166, 0.3791155517101288, 0.0]","[0.2831267714500427, 0.39466068148612976, -0.053566839545965195]","[0.21860042214393616, 0.3091447949409485, -0.06667736917734146]","[0.20450162887573242, 0.22329607605934143, -0.07145128399133682]","[0.2253800481557846, 0.1825074553489685, -0.07192479074001312]","[0.2529946267604828, 0.23401570320129395, -0.02794649451971054]","[0.24964749813079834, 0.1830558180809021, -0.04858547821640968]","[0.25922369956970215, 0.244319885969162, -0.048469770699739456]","[0.26297956705093384, 0.27460354566574097, -0.04431648924946785]","[0.2936846911907196, 0.23110374808311462, -0.004372796043753624]","[0.279405415058136, 0.17562654614448547, -0.02725638821721077]","[0.2896743416786194, 0.26685160398483276, -0.018341194838285446]","[0.2909089922904968, 0.284392386674881, -0.0031293733045458794]","[0.3275718092918396, 0.23574665188789368, 0.010577326640486717]","[0.3170531690120697, 0.18527838587760925, -0.017730016261339188]","[0.31964972615242004, 0.270259290933609, -0.008323104120790958]","[0.3194878101348877, 0.2975616455078125, 0.008805057033896446]","[0.3630867004394531, 0.2352745682001114, 0.0208863765001297]","[0.3538450598716736, 0.20828700065612793, 0.003408531192690134]","[0.3534422218799591, 0.26701101660728455, 0.006579535081982613]","[0.35236823558807373, 0.28758734464645386, 0.01817477121949196]"
"[0.2994823157787323, 0.40047815442085266, 0.0]","[0.24427053332328796, 0.39527955651283264, -0.034651193767786026]","[0.18476587533950806, 0.31963735818862915, -0.04287116229534149]","[0.16522982716560364, 0.23808139562606812, -0.04778393357992172]","[0.18320906162261963, 0.1977354735136032, -0.04797585308551788]","[0.2171681821346283, 0.24876517057418823, -0.010170592926442623]","[0.20771530270576477, 0.19383198022842407, -0.028114262968301773]","[0.21700866520404816, 0.2563028633594513, -0.026594549417495728]","[0.22457155585289001, 0.2853642702102661, -0.021795572713017464]","[0.2548968493938446, 0.24453410506248474, 0.000733364257030189]","[0.23938608169555664, 0.19176822900772095, -0.020509902387857437]","[0.24859271943569183, 0.2757853865623474, -0.01268727332353592]","[0.25341954827308655, 0.29436782002449036, 0.0013629465829581022]","[0.2879354953765869, 0.25008857250213623, 0.004350440111011267]","[0.27460983395576477, 0.20236432552337646, -0.021186530590057373]","[0.2773335874080658, 0.27977606654167175, -0.010809296742081642]","[0.2819538414478302, 0.30586618185043335, 0.006114829331636429]","[0.3240150809288025, 0.25229740142822266, 0.004243758507072926]","[0.31013503670692444, 0.22181469202041626, -0.010348139330744743]","[0.30867618322372437, 0.27675101161003113, -0.004735905211418867]","[0.31133946776390076, 0.2990201413631439, 0.007699070498347282]"
"[0.29800257086753845, 0.40581804513931274, 0.0]","[0.24356356263160706, 0.4011397957801819, -0.03486437350511551]","[0.18429936468601227, 0.3248623013496399, -0.04373946413397789]","[0.1643461287021637, 0.24359914660453796, -0.04961574822664261]","[0.18314391374588013, 0.20224609971046448, -0.050567299127578735]","[0.2161085456609726, 0.2540788948535919, -0.009186911396682262]","[0.20590999722480774, 0.2001253068447113, -0.028981951996684074]","[0.21540413796901703, 0.2610906660556793, -0.028963427990674973]","[0.22382861375808716, 0.29081088304519653, -0.02501278929412365]","[0.25309839844703674, 0.2498442679643631, 0.0008257747394964099]","[0.2368466854095459, 0.19738838076591492, -0.023499293252825737]","[0.24707362055778503, 0.2808679938316345, -0.017669381573796272]","[0.2527274787425995, 0.30033087730407715, -0.004331083502620459]","[0.28567492961883545, 0.2548035681247711, 0.0033122559543699026]","[0.2716377079486847, 0.20708073675632477, -0.025193624198436737]","[0.275075763463974, 0.2843758761882782, -0.01587493345141411]","[0.2802075445652008, 0.31111228466033936, 0.001158772618509829]","[0.3218994140625, 0.2561192512512207, 0.0020447545684874058]","[0.3072414696216583, 0.22567223012447357, -0.014288486912846565]","[0.30650144815444946, 0.28080347180366516, -0.009244110435247421]","[0.30960139632225037, 0.30351343750953674, 0.00314476084895432]"
"[0.2978989779949188, 0.40832892060279846, 0.0]","[0.24241498112678528, 0.4032333791255951, -0.03439262509346008]","[0.1830393373966217, 0.32835322618484497, -0.04273808002471924]","[0.16305798292160034, 0.2474580705165863, -0.048176541924476624]","[0.18208174407482147, 0.20670004189014435, -0.04872963950037956]","[0.215470090508461, 0.2586335241794586, -0.008047663606703281]","[0.20508059859275818, 0.20388513803482056, -0.027369122952222824]","[0.214797243475914, 0.2649711072444916, -0.027222556993365288]","[0.22333505749702454, 0.2946604788303375, -0.02323109470307827]","[0.2519078850746155, 0.25411921739578247, 0.00187799206469208]","[0.23574933409690857, 0.20131570100784302, -0.022180696949362755]","[0.24598953127861023, 0.28444570302963257, -0.01678105629980564]","[0.25198617577552795, 0.3047238290309906, -0.0037662717513740063]","[0.28425025939941406, 0.2584630250930786, 0.004340298008173704]","[0.27060988545417786, 0.21080753207206726, -0.023942207917571068]","[0.2741943597793579, 0.2879429757595062, -0.015089066699147224]","[0.2795093357563019, 0.3154184818267822, 0.0016132619930431247]","[0.3204464316368103, 0.25887665152549744, 0.0030967886559665203]","[0.30561310052871704, 0.22832386195659637, -0.012986238114535809]","[0.30485570430755615, 0.28336775302886963, -0.008117692545056343]","[0.3079040050506592, 0.3069121539592743, 0.00409683957695961]"
"[0.2997313141822815, 0.40933555364608765, 0.0]","[0.2453753650188446, 0.40994560718536377, -0.035604480654001236]","[0.18509937822818756, 0.3336300551891327, -0.04328262805938721]","[0.16494616866111755, 0.25231432914733887, -0.0473836287856102]","[0.181082621216774, 0.21000881493091583, -0.04659425467252731]","[0.2160303294658661, 0.26014918088912964, -0.010070433840155602]","[0.2067224681377411, 0.2069796323776245, -0.0297071635723114]","[0.2163248360157013, 0.267408549785614, -0.029512818902730942]","[0.22446438670158386, 0.2984504997730255, -0.025297479704022408]","[0.2522731423377991, 0.2558136582374573, 0.0014365530805662274]","[0.23733171820640564, 0.2040151059627533, -0.023343820124864578]","[0.2475486397743225, 0.28771093487739563, -0.018060650676488876]","[0.253074586391449, 0.307560533285141, -0.004921038169413805]","[0.28443652391433716, 0.25936195254325867, 0.0055327280424535275]","[0.27244141697883606, 0.2130235731601715, -0.023922311142086983]","[0.27615103125572205, 0.2907080054283142, -0.01593725010752678]","[0.28067588806152344, 0.31638121604919434, 0.0005087853060103953]","[0.3200944662094116, 0.25943854451179504, 0.006023726426064968]","[0.30758851766586304, 0.23000474274158478, -0.011179744265973568]","[0.3065846860408783, 0.28528115153312683, -0.007295722607523203]","[0.30860432982444763, 0.30692723393440247, 0.004492883570492268]"
"[0.2998162508010864, 0.4107476472854614, 0.0]","[0.24599121510982513, 0.4103245139122009, -0.03394521400332451]","[0.18729658424854279, 0.3348889946937561, -0.042197465896606445]","[0.16781969368457794, 0.254973828792572, -0.0474708192050457]","[0.18245628476142883, 0.21217578649520874, -0.047927796840667725]","[0.21902288496494293, 0.2613109052181244, -0.009893201291561127]","[0.20849618315696716, 0.20867308974266052, -0.030120791867375374]","[0.21808087825775146, 0.2690446376800537, -0.030142594128847122]","[0.22728154063224792, 0.29865413904190063, -0.026092730462551117]","[0.2551257908344269, 0.25733786821365356, -0.00023945595603436232]","[0.23903511464595795, 0.20627227425575256, -0.024831831455230713]","[0.24866588413715363, 0.2898814380168915, -0.018747953698039055]","[0.2546771466732025, 0.30674636363983154, -0.005319148302078247]","[0.28755971789360046, 0.26209038496017456, 0.0019478381145745516]","[0.2738650441169739, 0.2149958610534668, -0.027007102966308594]","[0.27690091729164124, 0.29269710183143616, -0.0178355872631073]","[0.28249016404151917, 0.3162524402141571, -0.0010721019934862852]","[0.3233179450035095, 0.2640463709831238, 0.000552891637198627]","[0.30988889932632446, 0.23420321941375732, -0.01619531400501728]","[0.30752870440483093, 0.2894026041030884, -0.01140624936670065]","[0.3110453486442566, 0.3098936080932617, 0.000660713471006602]"
"[0.303513765335083, 0.4149738550186157, 0.0]","[0.25026074051856995, 0.4163389801979065, -0.03705643489956856]","[0.19146041572093964, 0.3406037390232086, -0.046258844435214996]","[0.17162299156188965, 0.2595992684364319, -0.05170470103621483]","[0.18534570932388306, 0.21669283509254456, -0.05235080048441887]","[0.22059693932533264, 0.26564526557922363, -0.012150478549301624]","[0.2116653174161911, 0.213646799325943, -0.031466659158468246]","[0.22215045988559723, 0.27513840794563293, -0.031087758019566536]","[0.2299361526966095, 0.3025459349155426, -0.02709532529115677]","[0.25741514563560486, 0.2616758346557617, -1.9229710233048536e-05]","[0.2422834187746048, 0.21132762730121613, -0.023244746029376984]","[0.25278788805007935, 0.29548513889312744, -0.01616603508591652]","[0.25728273391723633, 0.3087425231933594, -0.0023495517671108246]","[0.28999245166778564, 0.266117662191391, 0.00456242123618722]","[0.27685537934303284, 0.2218078374862671, -0.02250044047832489]","[0.28071293234825134, 0.2990628182888031, -0.01275012269616127]","[0.28545838594436646, 0.3180655837059021, 0.0038980073295533657]","[0.3259507417678833, 0.2665688097476959, 0.005228193011134863]","[0.3131849765777588, 0.24084220826625824, -0.010828261263668537]","[0.3123340606689453, 0.2950429916381836, -0.006231547333300114]","[0.3151448965072632, 0.31113606691360474, 0.0056306542828679085]"
"[0.3078172206878662, 0.42036211490631104, 0.0]","[0.2553972899913788, 0.4246901273727417, -0.037726353853940964]","[0.195394828915596, 0.34663817286491394, -0.04774470627307892]","[0.1763841211795807, 0.26568540930747986, -0.05374641343951225]","[0.1904277503490448, 0.2231690138578415, -0.05493748188018799]","[0.22599540650844574, 0.2718314826488495, -0.01547153852880001]","[0.21484409272670746, 0.22030329704284668, -0.036190252751111984]","[0.22580325603485107, 0.2822231352329254, -0.03597735986113548]","[0.23451852798461914, 0.30754712224006653, -0.031973473727703094]","[0.26279714703559875, 0.26828381419181824, -0.0031612273305654526]","[0.24554277956485748, 0.21699565649032593, -0.02743266150355339]","[0.25668445229530334, 0.3028320372104645, -0.0191241055727005]","[0.26186153292655945, 0.31323492527008057, -0.00431080861017108]","[0.2951158881187439, 0.2725922763347626, 0.0015391152119264007]","[0.2803501486778259, 0.22817277908325195, -0.025997519493103027]","[0.2847951352596283, 0.307125449180603, -0.014911961741745472]","[0.2908678352832794, 0.32296356558799744, 0.00267354235984385]","[0.33075541257858276, 0.2721730172634125, 0.0022994298487901688]","[0.316974401473999, 0.2471211850643158, -0.01376249361783266]","[0.31640756130218506, 0.3021320700645447, -0.00849155243486166]","[0.3207775056362152, 0.3157738745212555, 0.003850290086120367]"
"[0.3137447237968445, 0.42521241307258606, 0.0]","[0.2604478597640991, 0.4309138059616089, -0.03912902623414993]","[0.19947731494903564, 0.35248520970344543, -0.04999615624547005]","[0.180667906999588, 0.27141690254211426, -0.05649838224053383]","[0.19590885937213898, 0.22898226976394653, -0.058193597942590714]","[0.23064501583576202, 0.27768728137016296, -0.016897130757570267]","[0.21904104948043823, 0.22687114775180817, -0.03797281160950661]","[0.2302730530500412, 0.2891511023044586, -0.03812882676720619]","[0.23866164684295654, 0.31274744868278503, -0.03444670885801315]","[0.2677195370197296, 0.27436792850494385, -0.0037243154365569353]","[0.25016912817955017, 0.2233690470457077, -0.027965348213911057]","[0.26128965616226196, 0.30959510803222656, -0.019483990967273712]","[0.265768438577652, 0.3185662627220154, -0.004658137448132038]","[0.2999751567840576, 0.2787158489227295, 0.0017432337626814842]","[0.2848932147026062, 0.23498447239398956, -0.0251779668033123]","[0.2892979681491852, 0.31399625539779663, -0.013663988560438156]","[0.2950386703014374, 0.3282587230205536, 0.003980811685323715]","[0.3355488181114197, 0.2773291766643524, 0.003096722299233079]","[0.3213978707790375, 0.25402218103408813, -0.012607753276824951]","[0.32119786739349365, 0.308942973613739, -0.007206515874713659]","[0.3254285454750061, 0.3209744393825531, 0.005166843067854643]"
