"[0.7524644136428833, 0.857865571975708, 0.0]","[0.6734818816184998, 0.8056538105010986, -0.02039683610200882]","[0.6247458457946777, 0.7017504572868347, -0.030019188299775124]","[0.6100701689720154, 0.6055626273155212, -0.04201360046863556]","[0.5961834192276001, 0.527433454990387, -0.05510871112346649]","[0.6729879975318909, 0.571467399597168, -0.0012864888412877917]","[0.6602569818496704, 0.4518797695636749, -0.021636195480823517]","[0.6553342938423157, 0.38084664940834045, -0.037308137863874435]","[0.6524662971496582, 0.3157466948032379, -0.048334281891584396]","[0.7190632820129395, 0.5615473985671997, -0.012950423173606396]","[0.7061463594436646, 0.43160921335220337, -0.03116234391927719]","[0.696094274520874, 0.34583622217178345, -0.04966704919934273]","[0.6873272657394409, 0.27336227893829346, -0.06445928663015366]","[0.7636925578117371, 0.5743901133537292, -0.03055289201438427]","[0.7524237632751465, 0.4514746069908142, -0.053175296634435654]","[0.7429040670394897, 0.37367725372314453, -0.07138246297836304]","[0.732646107673645, 0.30341190099716187, -0.08411524444818497]","[0.8115386962890625, 0.6063016057014465, -0.05163809284567833]","[0.8132690787315369, 0.5104027986526489, -0.07180541008710861]","[0.8124181032180786, 0.44991928339004517, -0.0840088352560997]","[0.8110470771789551, 0.39060941338539124, -0.09252092242240906]"
"[0.40288904309272766, 0.6458491086959839, 0.0]","[0.34287789463996887, 0.6011987924575806, -0.022468771785497665]","[0.3071306049823761, 0.5195149183273315, -0.03144342079758644]","[0.2983383536338806, 0.4398130178451538, -0.041004132479429245]","[0.2874014675617218, 0.37408509850502014, -0.051271066069602966]","[0.3388078808784485, 0.41706690192222595, -0.004687866661697626]","[0.3268330991268158, 0.3204510807991028, -0.020745135843753815]","[0.3221147954463959, 0.26322662830352783, -0.03335859999060631]","[0.3193590044975281, 0.21023507416248322, -0.04218754172325134]","[0.3737611472606659, 0.4070485532283783, -0.010246441699564457]","[0.36265629529953003, 0.3036009669303894, -0.024570928886532784]","[0.35345518589019775, 0.237061008810997, -0.03947370871901512]","[0.34601736068725586, 0.17915156483650208, -0.05126659572124481]","[0.4075395464897156, 0.41431891918182373, -0.02108682505786419]","[0.4000656306743622, 0.316668838262558, -0.03971051052212715]","[0.39144065976142883, 0.25642913579940796, -0.055810123682022095]","[0.3836692273616791, 0.20070265233516693, -0.06673511862754822]","[0.4436981678009033, 0.4358506500720978, -0.03511038050055504]","[0.44391000270843506, 0.36002257466316223, -0.05232973396778107]","[0.44337955117225647, 0.31149375438690186, -0.06366701424121857]","[0.4431675374507904, 0.26284027099609375, -0.07133603096008301]"
"[0.3730562925338745, 0.6726681590080261, 0.0]","[0.31444233655929565, 0.6307144165039062, -0.015953654423356056]","[0.27934786677360535, 0.5525113940238953, -0.022489702329039574]","[0.27049243450164795, 0.47633638978004456, -0.030616922304034233]","[0.26092836260795593, 0.414650559425354, -0.03913165256381035]","[0.31047242879867554, 0.4515437185764313, 0.0027818731032311916]","[0.30045396089553833, 0.3605976402759552, -0.010553037747740746]","[0.29607585072517395, 0.3065199851989746, -0.021163424476981163]","[0.2935560941696167, 0.25683629512786865, -0.028681429103016853]","[0.3442653715610504, 0.44171953201293945, -0.004972066730260849]","[0.3351175785064697, 0.3428378701210022, -0.016359584406018257]","[0.3274615406990051, 0.2805761396884918, -0.029024561867117882]","[0.3198951780796051, 0.22738327085971832, -0.039217181503772736]","[0.3765709698200226, 0.4484120309352875, -0.017482230439782143]","[0.3706872761249542, 0.35486406087875366, -0.032923147082328796]","[0.36356428265571594, 0.2976876497268677, -0.046157363802194595]","[0.3557703197002411, 0.24606990814208984, -0.055329229682683945]","[0.4114910960197449, 0.46975553035736084, -0.03284458443522453]","[0.4130549132823944, 0.3965897560119629, -0.047239191830158234]","[0.4133415222167969, 0.3502996861934662, -0.05644581466913223]","[0.4127480685710907, 0.3048937916755676, -0.06268714368343353]"
"[0.37049663066864014, 0.6786279678344727, 0.0]","[0.31297025084495544, 0.6359124183654785, -0.01508238073438406]","[0.27832701802253723, 0.557165801525116, -0.02187550812959671]","[0.26882070302963257, 0.4810076355934143, -0.030398542061448097]","[0.2580975294113159, 0.41904911398887634, -0.039298832416534424]","[0.309074729681015, 0.45911848545074463, 0.0014680863823741674]","[0.29806897044181824, 0.36859485507011414, -0.012580527924001217]","[0.29328233003616333, 0.31516414880752563, -0.023339204490184784]","[0.29055333137512207, 0.2659314274787903, -0.030896564945578575]","[0.34210383892059326, 0.4496248960494995, -0.006928944028913975]","[0.3321336805820465, 0.35111352801322937, -0.01928800530731678]","[0.32390445470809937, 0.28924399614334106, -0.03185916319489479]","[0.31597867608070374, 0.23601068556308746, -0.0418870747089386]","[0.3742322325706482, 0.45633068680763245, -0.019897663965821266]","[0.3677941560745239, 0.36292803287506104, -0.036085788160562515]","[0.3603348135948181, 0.30566924810409546, -0.0490959994494915]","[0.35237306356430054, 0.25357288122177124, -0.05807596072554588]","[0.40908828377723694, 0.47759971022605896, -0.03558824583888054]","[0.4103916585445404, 0.4051877558231354, -0.05033960938453674]","[0.4105373024940491, 0.3590736389160156, -0.059388309717178345]","[0.41023367643356323, 0.3134887218475342, -0.06556684523820877]"
"[0.36805203557014465, 0.6826859712600708, 0.0]","[0.3093421757221222, 0.6406174898147583, -0.015881765633821487]","[0.27469056844711304, 0.5620378255844116, -0.02207210101187229]","[0.26581698656082153, 0.48625144362449646, -0.029847385361790657]","[0.25557106733322144, 0.4254756569862366, -0.038015931844711304]","[0.3053407669067383, 0.46437782049179077, 0.003070307429879904]","[0.29394882917404175, 0.3754796087741852, -0.010275943204760551]","[0.28842318058013916, 0.32286959886550903, -0.020776523277163506]","[0.2849099338054657, 0.2735007703304291, -0.028153032064437866]","[0.3379633128643036, 0.4545872211456299, -0.004555317107588053]","[0.3273361325263977, 0.35825517773628235, -0.016041144728660583]","[0.3187101483345032, 0.29705357551574707, -0.028596416115760803]","[0.31069332361221313, 0.24364137649536133, -0.03863264620304108]","[0.36952170729637146, 0.4609500765800476, -0.016987109556794167]","[0.36308103799819946, 0.36930036544799805, -0.03236386179924011]","[0.3556036353111267, 0.3135126829147339, -0.04556518793106079]","[0.3477323055267334, 0.2623690366744995, -0.05465055629611015]","[0.4035961925983429, 0.48167678713798523, -0.03227389231324196]","[0.40484192967414856, 0.4094218909740448, -0.04664969444274902]","[0.4048432409763336, 0.36267173290252686, -0.0560273751616478]","[0.4041152894496918, 0.316461980342865, -0.062359366565942764]"
"[0.36494600772857666, 0.6861813068389893, 0.0]","[0.30629149079322815, 0.6435843706130981, -0.013759169727563858]","[0.27204298973083496, 0.5657116770744324, -0.019696518778800964]","[0.2629467248916626, 0.49078550934791565, -0.02768045663833618]","[0.2523893713951111, 0.4303012490272522, -0.036123283207416534]","[0.3018725514411926, 0.4702196717262268, 0.0038549243472516537]","[0.2903345227241516, 0.38128727674484253, -0.009703487157821655]","[0.2848464250564575, 0.32884564995765686, -0.020286811515688896]","[0.28129324316978455, 0.2803657054901123, -0.027662215754389763]","[0.3345130383968353, 0.46070027351379395, -0.004930729977786541]","[0.32372933626174927, 0.36411893367767334, -0.01677398383617401]","[0.31512731313705444, 0.3027764558792114, -0.02942650578916073]","[0.3066806197166443, 0.2501600980758667, -0.03945642709732056]","[0.3663422465324402, 0.4668469727039337, -0.01827021688222885]","[0.35886576771736145, 0.3750162720680237, -0.033686183393001556]","[0.35112670063972473, 0.3185097873210907, -0.04645520821213722]","[0.3426082134246826, 0.26772212982177734, -0.05527913570404053]","[0.4009767472743988, 0.4871484041213989, -0.0343010276556015]","[0.4015529155731201, 0.4147574305534363, -0.04846541956067085]","[0.4012076258659363, 0.3683837056159973, -0.05726628005504608]","[0.4000645875930786, 0.3232542872428894, -0.06322582066059113]"
"[0.3624887764453888, 0.685708224773407, 0.0]","[0.3039395213127136, 0.6442759037017822, -0.013390869833528996]","[0.26962119340896606, 0.5680214762687683, -0.01902538351714611]","[0.2600672245025635, 0.4947686195373535, -0.026739858090877533]","[0.24869023263454437, 0.43553662300109863, -0.034931208938360214]","[0.29816344380378723, 0.47273996472358704, 0.004574584774672985]","[0.28626570105552673, 0.38525015115737915, -0.008399362675845623]","[0.28084057569503784, 0.33360549807548523, -0.01862259954214096]","[0.2773135304450989, 0.28576183319091797, -0.025765521451830864]","[0.3305871784687042, 0.46293947100639343, -0.004078651778399944]","[0.3192945420742035, 0.3671490550041199, -0.01529277116060257]","[0.3104989528656006, 0.30666762590408325, -0.027621857821941376]","[0.3019337058067322, 0.2548282742500305, -0.03745334595441818]","[0.3622952699661255, 0.468648761510849, -0.017239296808838844]","[0.3545064628124237, 0.3777090907096863, -0.032102443277835846]","[0.34681692719459534, 0.3223434090614319, -0.04467440024018288]","[0.3382083773612976, 0.2725275754928589, -0.05337361991405487]","[0.39676183462142944, 0.488410085439682, -0.033050816506147385]","[0.39721280336380005, 0.41694119572639465, -0.04682629182934761]","[0.39662760496139526, 0.37138593196868896, -0.05550177022814751]","[0.395005464553833, 0.32713714241981506, -0.061361003667116165]"
"[0.3586554527282715, 0.6865101456642151, 0.0]","[0.3001980185508728, 0.6446982622146606, -0.01325887069106102]","[0.26679444313049316, 0.5689373016357422, -0.018739618360996246]","[0.25793206691741943, 0.49633848667144775, -0.026229387149214745]","[0.24700400233268738, 0.43808481097221375, -0.034139249473810196]","[0.2950633466243744, 0.47431400418281555, 0.00454823998734355]","[0.2836318612098694, 0.3866358995437622, -0.008096314035356045]","[0.278390496969223, 0.3344942629337311, -0.018230538815259933]","[0.27497512102127075, 0.2870737910270691, -0.025304894894361496]","[0.32739123702049255, 0.4647400379180908, -0.0038088755682110786]","[0.31625768542289734, 0.3696672320365906, -0.014718694612383842]","[0.3072996139526367, 0.3091769218444824, -0.027066675946116447]","[0.29863232374191284, 0.25778186321258545, -0.03693249076604843]","[0.3589286506175995, 0.47038525342941284, -0.016581300646066666]","[0.3509668707847595, 0.3798852860927582, -0.03107553906738758]","[0.342950701713562, 0.3243817389011383, -0.04376104101538658]","[0.3340769112110138, 0.2750515639781952, -0.05259059742093086]","[0.39333078265190125, 0.48991501331329346, -0.031958866864442825]","[0.3935185372829437, 0.4186728000640869, -0.04535351321101189]","[0.3923145532608032, 0.37358418107032776, -0.05396082624793053]","[0.39024272561073303, 0.3303225338459015, -0.059818629175424576]"
"[0.3552219271659851, 0.6897343397140503, 0.0]","[0.29692238569259644, 0.648333728313446, -0.012142952531576157]","[0.26335689425468445, 0.5733192563056946, -0.017533332109451294]","[0.2543392777442932, 0.5011233687400818, -0.025064075365662575]","[0.24335366487503052, 0.44295424222946167, -0.03295792266726494]","[0.29152029752731323, 0.4790068566799164, 0.004749933257699013]","[0.27993667125701904, 0.3929150104522705, -0.007627879735082388]","[0.27449777722358704, 0.3420890271663666, -0.017441613599658012]","[0.2710983455181122, 0.2952847480773926, -0.024334371089935303]","[0.3240196406841278, 0.46918678283691406, -0.004033548291772604]","[0.31294795870780945, 0.3750039339065552, -0.014762635342776775]","[0.3040906488895416, 0.31501078605651855, -0.02668818272650242]","[0.29549020528793335, 0.26368892192840576, -0.036297138780355453]","[0.3556135296821594, 0.474450945854187, -0.017028292641043663]","[0.34778720140457153, 0.3849206566810608, -0.031191667541861534]","[0.34035173058509827, 0.3298531174659729, -0.04331576079130173]","[0.332313597202301, 0.28057897090911865, -0.051859017461538315]","[0.3898474872112274, 0.4936995506286621, -0.03253320977091789]","[0.3897433280944824, 0.42365264892578125, -0.04549206420779228]","[0.3889944553375244, 0.37949275970458984, -0.05367342010140419]","[0.38766294717788696, 0.33686912059783936, -0.059335485100746155]"
"[0.3318459987640381, 0.7422966957092285, 0.0]","[0.275285005569458, 0.7037076950073242, -0.011430863291025162]","[0.2414378970861435, 0.6325573921203613, -0.017446141690015793]","[0.23162388801574707, 0.5627565383911133, -0.025639541447162628]","[0.22239679098129272, 0.504610002040863, -0.03439043089747429]","[0.270906537771225, 0.541476845741272, 0.0022831314709037542]","[0.2576088607311249, 0.4573811888694763, -0.011297797784209251]","[0.25006669759750366, 0.40775740146636963, -0.02150084264576435]","[0.24451789259910583, 0.36261284351348877, -0.028524303808808327]","[0.3025839328765869, 0.5318484306335449, -0.007257646415382624]","[0.2885740101337433, 0.44084495306015015, -0.01930350624024868]","[0.2768995761871338, 0.38221243023872375, -0.03112722374498844]","[0.2653568983078003, 0.3324171304702759, -0.040448110550642014]","[0.3337918221950531, 0.5367963910102844, -0.020836452022194862]","[0.32326626777648926, 0.44976481795310974, -0.03567993640899658]","[0.31360378861427307, 0.3940482437610626, -0.04728681966662407]","[0.3026970326900482, 0.3448143005371094, -0.05551065504550934]","[0.3677600026130676, 0.5555356740951538, -0.03681660071015358]","[0.36641383171081543, 0.48673656582832336, -0.050103116780519485]","[0.36405980587005615, 0.44170379638671875, -0.057975996285676956]","[0.3603598475456238, 0.39879846572875977, -0.0634915754199028]"
