"[0.8107788562774658, 0.7916408181190491, 0.0]","[0.751937210559845, 0.7563526630401611, -0.017363162711262703]","[0.7170913815498352, 0.6770057082176208, -0.027290862053632736]","[0.7455841302871704, 0.608274519443512, -0.039450742304325104]","[0.7990334630012512, 0.5927370190620422, -0.05214237421751022]","[0.7148729562759399, 0.5645533204078674, -0.007127862889319658]","[0.6763938069343567, 0.47902950644493103, -0.027661137282848358]","[0.6524972915649414, 0.4278374910354614, -0.04120183736085892]","[0.6334148645401001, 0.3802758455276489, -0.050456512719392776]","[0.7553613185882568, 0.5432271361351013, -0.020296970382332802]","[0.7340945601463318, 0.43765509128570557, -0.034583963453769684]","[0.721072256565094, 0.3722381293773651, -0.046804338693618774]","[0.7102589011192322, 0.3126062750816345, -0.0577659048140049]","[0.7952083945274353, 0.5482003688812256, -0.03910722956061363]","[0.7876228094100952, 0.44519197940826416, -0.058170121163129807]","[0.7766657471656799, 0.37978094816207886, -0.07402829825878143]","[0.765967607498169, 0.3214035630226135, -0.08537568151950836]","[0.8370132446289062, 0.5730867385864258, -0.061231400817632675]","[0.8515042066574097, 0.49487343430519104, -0.07811563462018967]","[0.8640006184577942, 0.43814826011657715, -0.08941787481307983]","[0.8724871873855591, 0.38502782583236694, -0.09765071421861649]"
"[0.8026537299156189, 0.7876574993133545, 0.0]","[0.7445988655090332, 0.7537848949432373, -0.01715870015323162]","[0.7096723318099976, 0.6765960454940796, -0.02745899185538292]","[0.7368642091751099, 0.6078131794929504, -0.0401066429913044]","[0.7893288135528564, 0.5898367166519165, -0.05328856781125069]","[0.7061907649040222, 0.5635798573493958, -0.007269693538546562]","[0.6683542132377625, 0.47968780994415283, -0.027821030467748642]","[0.6452393531799316, 0.4287039637565613, -0.04145233333110809]","[0.6269651055335999, 0.38117659091949463, -0.05076725035905838]","[0.7458105683326721, 0.5419583320617676, -0.020758550614118576]","[0.7233883738517761, 0.4371969699859619, -0.03514216095209122]","[0.7109154462814331, 0.3717958927154541, -0.04741882532835007]","[0.7007629871368408, 0.313048779964447, -0.05838030204176903]","[0.785374104976654, 0.5458674430847168, -0.03980730101466179]","[0.7774247527122498, 0.44371819496154785, -0.058674439787864685]","[0.7671380043029785, 0.37932366132736206, -0.07389850914478302]","[0.7567625045776367, 0.32220762968063354, -0.08490633964538574]","[0.8272832036018372, 0.5694477558135986, -0.062219224870204926]","[0.8404631614685059, 0.4919164776802063, -0.07876889407634735]","[0.8524543046951294, 0.43662354350090027, -0.08951594680547714]","[0.8604978322982788, 0.38447171449661255, -0.09743775427341461]"
"[0.7935894727706909, 0.7861274480819702, 0.0]","[0.7373202443122864, 0.7512938976287842, -0.015784377232193947]","[0.7034987807273865, 0.675597071647644, -0.025935430079698563]","[0.7263734340667725, 0.6068807244300842, -0.03872096538543701]","[0.770097017288208, 0.5838866233825684, -0.05203963443636894]","[0.6974477767944336, 0.5644798278808594, -0.0074532488361001015]","[0.6588411927223206, 0.481036901473999, -0.028554437682032585]","[0.6352406740188599, 0.4301431179046631, -0.04274781048297882]","[0.6168354749679565, 0.38314324617385864, -0.05235365033149719]","[0.7352904677391052, 0.5430615544319153, -0.021479407325387]","[0.7124369144439697, 0.43823400139808655, -0.036879900842905045]","[0.699792206287384, 0.37317168712615967, -0.04993321746587753]","[0.6892860531806946, 0.3146878480911255, -0.06131918355822563]","[0.7742742896080017, 0.5463032722473145, -0.04076368734240532]","[0.7663249373435974, 0.4425993263721466, -0.06010938063263893]","[0.756435751914978, 0.3781164288520813, -0.07544806599617004]","[0.7463838458061218, 0.32174018025398254, -0.08665112406015396]","[0.8163864612579346, 0.5685792565345764, -0.06317861378192902]","[0.8285302519798279, 0.4879933297634125, -0.07962018251419067]","[0.8400705456733704, 0.43273741006851196, -0.0900217667222023]","[0.8482134938240051, 0.3823434114456177, -0.09788832068443298]"
"[0.7848218679428101, 0.781735897064209, 0.0]","[0.7266476154327393, 0.7491612434387207, -0.016715461388230324]","[0.6915570497512817, 0.6757711172103882, -0.026891496032476425]","[0.7142199873924255, 0.6071471571922302, -0.03941822797060013]","[0.7573091387748718, 0.583622395992279, -0.052415840327739716]","[0.6866767406463623, 0.5612736344337463, -0.00706682913005352]","[0.6487554907798767, 0.4795776605606079, -0.027416350319981575]","[0.6249792575836182, 0.4297553300857544, -0.04148540273308754]","[0.6058777570724487, 0.38378649950027466, -0.050890546292066574]","[0.7248106598854065, 0.5395268201828003, -0.02005535550415516]","[0.703150749206543, 0.4368852376937866, -0.03449590131640434]","[0.6908829808235168, 0.37244564294815063, -0.04742216318845749]","[0.680025577545166, 0.31478315591812134, -0.058679450303316116]","[0.7639137506484985, 0.5413708090782166, -0.03835708275437355]","[0.7557984590530396, 0.4407600164413452, -0.05639127641916275]","[0.745534360408783, 0.377424955368042, -0.0713474377989769]","[0.7347476482391357, 0.3223298192024231, -0.08238530158996582]","[0.8057854771614075, 0.5612875819206238, -0.05994832143187523]","[0.8165196180343628, 0.48204007744789124, -0.07523263990879059]","[0.8262732028961182, 0.42874839901924133, -0.08510185033082962]","[0.8327191472053528, 0.3806927800178528, -0.0926046296954155]"
"[0.7741372585296631, 0.776518702507019, 0.0]","[0.7151665687561035, 0.7436949014663696, -0.0156532134860754]","[0.6805890798568726, 0.6697670817375183, -0.02436349354684353]","[0.7065442204475403, 0.6008803844451904, -0.035465698689222336]","[0.7552813291549683, 0.58086097240448, -0.04680940881371498]","[0.675278902053833, 0.558784544467926, -0.0022976624313741922]","[0.637993335723877, 0.4798595905303955, -0.021108128130435944]","[0.6138461828231812, 0.43156468868255615, -0.03413938358426094]","[0.5941604375839233, 0.38707435131073, -0.042795293033123016]","[0.7136020660400391, 0.5361945033073425, -0.014876164495944977]","[0.6924819946289062, 0.4349870979785919, -0.02733025513589382]","[0.6793735027313232, 0.372546911239624, -0.03908828645944595]","[0.6672409772872925, 0.3168896734714508, -0.04952928051352501]","[0.7521951198577881, 0.5375900864601135, -0.03302033618092537]","[0.7451323866844177, 0.43917202949523926, -0.04936378821730614]","[0.7343456745147705, 0.37738174200057983, -0.06364226341247559]","[0.7229436635971069, 0.32375043630599976, -0.07405433058738708]","[0.7932680249214172, 0.5573081970214844, -0.05452047288417816]","[0.8038808703422546, 0.48059484362602234, -0.06853344291448593]","[0.8126190900802612, 0.42802858352661133, -0.07808879762887955]","[0.8178101778030396, 0.38044872879981995, -0.08520109951496124]"
"[0.7635624408721924, 0.7734630107879639, 0.0]","[0.7051866054534912, 0.7409857511520386, -0.016499601304531097]","[0.671293318271637, 0.6675731539726257, -0.02545952796936035]","[0.6962052583694458, 0.5972990393638611, -0.036464620381593704]","[0.7422794103622437, 0.5735681056976318, -0.047718677669763565]","[0.6644951701164246, 0.5582530498504639, -0.00349527969956398]","[0.6270734667778015, 0.4816749691963196, -0.022858846932649612]","[0.6029013991355896, 0.4327179789543152, -0.03623562306165695]","[0.5833359956741333, 0.3881871998310089, -0.0449804924428463]","[0.7024638652801514, 0.5347044467926025, -0.01543048582971096]","[0.680634081363678, 0.4353669285774231, -0.02813807874917984]","[0.6674676537513733, 0.3723825216293335, -0.04004882276058197]","[0.654909610748291, 0.3168051242828369, -0.05056622251868248]","[0.7409197688102722, 0.535598635673523, -0.032971300184726715]","[0.7331797480583191, 0.438637912273407, -0.04958275705575943]","[0.7217293977737427, 0.3769720196723938, -0.06417886912822723]","[0.7091123461723328, 0.3239986300468445, -0.07473159581422806]","[0.7819821238517761, 0.5553610920906067, -0.05390424281358719]","[0.790701687335968, 0.4804232716560364, -0.06849382072687149]","[0.7983896732330322, 0.42794522643089294, -0.0784531831741333]","[0.8025116920471191, 0.38061344623565674, -0.08570162206888199]"
"[0.752977192401886, 0.7740236520767212, 0.0]","[0.6962536573410034, 0.7418782114982605, -0.01569555327296257]","[0.6621034145355225, 0.6685311794281006, -0.023995161056518555]","[0.6856258511543274, 0.6020253896713257, -0.03451889008283615]","[0.7291907072067261, 0.5838106870651245, -0.04542682692408562]","[0.6563628315925598, 0.5609478950500488, -0.004060875158756971]","[0.6185795068740845, 0.48188573122024536, -0.02297261357307434]","[0.5943951606750488, 0.43271690607070923, -0.0360259972512722]","[0.5745368599891663, 0.3879590332508087, -0.044665105640888214]","[0.6934385895729065, 0.5385847091674805, -0.015995251014828682]","[0.6724935173988342, 0.4388296604156494, -0.028868667781352997]","[0.658918559551239, 0.3761165142059326, -0.04053303599357605]","[0.6455222368240356, 0.3203660845756531, -0.050801485776901245]","[0.7311025857925415, 0.5390027165412903, -0.03327292203903198]","[0.7242162823677063, 0.4417251646518707, -0.049896955490112305]","[0.7125253677368164, 0.3799095153808594, -0.06421874463558197]","[0.6996071338653564, 0.32704997062683105, -0.0745568796992302]","[0.7714272141456604, 0.55775386095047, -0.05380477383732796]","[0.7827549576759338, 0.48098164796829224, -0.06837665289640427]","[0.7921041250228882, 0.42742854356765747, -0.07816668599843979]","[0.7974435091018677, 0.38001304864883423, -0.08528701215982437]"
"[0.743998110294342, 0.7717584371566772, 0.0]","[0.6867302656173706, 0.7410991191864014, -0.01581488363444805]","[0.6504135131835938, 0.6664637923240662, -0.023775272071361542]","[0.6709120869636536, 0.5998980402946472, -0.03396906331181526]","[0.7159189581871033, 0.5820136666297913, -0.044752251356840134]","[0.6475033760070801, 0.5639213919639587, -0.004330049734562635]","[0.6107684969902039, 0.48316508531570435, -0.02234240621328354]","[0.5875470042228699, 0.4344729781150818, -0.03433367237448692]","[0.5686702728271484, 0.38921934366226196, -0.04252605140209198]","[0.6844496130943298, 0.5412952303886414, -0.016251729801297188]","[0.6638361811637878, 0.44179245829582214, -0.028361741453409195]","[0.6502460241317749, 0.37899306416511536, -0.03919542580842972]","[0.6381623148918152, 0.322835773229599, -0.04901678487658501]","[0.7218791246414185, 0.5415664911270142, -0.033477023243904114]","[0.7153533697128296, 0.4435097873210907, -0.050150953233242035]","[0.7027177810668945, 0.3813452124595642, -0.06446411460638046]","[0.690071165561676, 0.3272929787635803, -0.07479207962751389]","[0.7621120810508728, 0.5601027607917786, -0.0538826547563076]","[0.7764150500297546, 0.48529720306396484, -0.06869876384735107]","[0.7874283790588379, 0.43171823024749756, -0.07861767709255219]","[0.7946464419364929, 0.3833310604095459, -0.08580330014228821]"
"[0.7375275492668152, 0.7724661827087402, 0.0]","[0.6825011968612671, 0.7433227896690369, -0.015694716945290565]","[0.6451946496963501, 0.6700215339660645, -0.02325798198580742]","[0.6620365381240845, 0.6065150499343872, -0.03270015865564346]","[0.7023916840553284, 0.591892421245575, -0.04286649823188782]","[0.6429235935211182, 0.5655603408813477, -0.007501597981899977]","[0.604623556137085, 0.48372983932495117, -0.02450624667108059]","[0.5819486975669861, 0.4343576431274414, -0.035303328186273575]","[0.5634477138519287, 0.3899579644203186, -0.042952243238687515]","[0.6799451112747192, 0.5443277359008789, -0.01884865202009678]","[0.6582177877426147, 0.444203644990921, -0.03063228726387024]","[0.6445494890213013, 0.38289397954940796, -0.04016738757491112]","[0.6324328780174255, 0.32790517807006836, -0.049077194184064865]","[0.7171850800514221, 0.5461400151252747, -0.03509350121021271]","[0.7107068300247192, 0.44705823063850403, -0.051584817469120026]","[0.699148416519165, 0.385866641998291, -0.06524292379617691]","[0.687711238861084, 0.3331663906574249, -0.07513723522424698]","[0.7581396102905273, 0.5679705739021301, -0.05428611487150192]","[0.7736402750015259, 0.4908542037010193, -0.06917403638362885]","[0.7853686213493347, 0.4366750717163086, -0.07880887389183044]","[0.7929507493972778, 0.3897029161453247, -0.08578654378652573]"
"[0.7308303713798523, 0.7767013311386108, 0.0]","[0.6756488084793091, 0.7471613883972168, -0.016655147075653076]","[0.6399897933006287, 0.6733258366584778, -0.024541255086660385]","[0.6619493961334229, 0.6093404293060303, -0.03418782725930214]","[0.7062586545944214, 0.5957314372062683, -0.04452306777238846]","[0.6386330127716064, 0.5690589547157288, -0.006535506807267666]","[0.6013338565826416, 0.48953956365585327, -0.023842109367251396]","[0.5795304775238037, 0.44098836183547974, -0.03525345399975777]","[0.5619615912437439, 0.39651942253112793, -0.043233051896095276]","[0.6764864921569824, 0.5476240515708923, -0.017216486856341362]","[0.6563829779624939, 0.4489719569683075, -0.02819872833788395]","[0.6436177492141724, 0.3883614242076874, -0.037761710584163666]","[0.6316903829574585, 0.3339230716228485, -0.04693637415766716]","[0.7137370109558105, 0.5500960350036621, -0.03313238546252251]","[0.7093572616577148, 0.45400843024253845, -0.048616673797369]","[0.6980711221694946, 0.3934475779533386, -0.06230197474360466]","[0.6865326166152954, 0.3410848379135132, -0.07247079908847809]","[0.7541545629501343, 0.5724654197692871, -0.05222124978899956]","[0.7716836929321289, 0.49887752532958984, -0.06652824580669403]","[0.7842463254928589, 0.44588151574134827, -0.07632453739643097]","[0.7922273278236389, 0.3990160822868347, -0.08351839333772659]"
