"[0.5604842901229858, 0.7713420391082764, 0.0]","[0.5053752660751343, 0.7521625757217407, -0.02042318694293499]","[0.45130521059036255, 0.7154824137687683, -0.03492267057299614]","[0.4173662066459656, 0.6845579743385315, -0.05092497915029526]","[0.4149026870727539, 0.6553903222084045, -0.06477807462215424]","[0.4820878505706787, 0.5793540477752686, -0.014058050699532032]","[0.44588178396224976, 0.5255610942840576, -0.04137314856052399]","[0.43072202801704407, 0.5679899454116821, -0.0524684377014637]","[0.42794352769851685, 0.612957239151001, -0.056461770087480545]","[0.5140429735183716, 0.5513551235198975, -0.025401394814252853]","[0.4908796548843384, 0.45315825939178467, -0.04592709615826607]","[0.4624638259410858, 0.39955848455429077, -0.06095847114920616]","[0.4377918839454651, 0.34999191761016846, -0.07412710785865784]","[0.5491234660148621, 0.5523784160614014, -0.04265895113348961]","[0.5425272583961487, 0.45458295941352844, -0.0630110427737236]","[0.5295409560203552, 0.3945421576499939, -0.07435670495033264]","[0.5163694620132446, 0.34392914175987244, -0.08350995928049088]","[0.5852813124656677, 0.5738105177879333, -0.06326586753129959]","[0.6018878221511841, 0.49871182441711426, -0.08076954632997513]","[0.6091985106468201, 0.4450668692588806, -0.08816057443618774]","[0.6103454232215881, 0.3954733610153198, -0.09334300458431244]"
"[0.559126079082489, 0.7713121771812439, 0.0]","[0.5034473538398743, 0.7512171268463135, -0.019596146419644356]","[0.4491104185581207, 0.7149579524993896, -0.03367283195257187]","[0.4149714708328247, 0.6842477917671204, -0.049380239099264145]","[0.41214418411254883, 0.655453085899353, -0.06300567090511322]","[0.48051121830940247, 0.5786566138267517, -0.013015302829444408]","[0.4439223110675812, 0.5260273218154907, -0.04005665332078934]","[0.4287284016609192, 0.5675919055938721, -0.051059991121292114]","[0.42569881677627563, 0.6117523908615112, -0.05497511848807335]","[0.5124824643135071, 0.5506924390792847, -0.0246263574808836]","[0.4886281490325928, 0.45351406931877136, -0.04482303187251091]","[0.4598235785961151, 0.40085282921791077, -0.059729669243097305]","[0.43443894386291504, 0.352139413356781, -0.0727849155664444]","[0.5477066040039062, 0.5514002442359924, -0.04212374612689018]","[0.5400377511978149, 0.454630970954895, -0.06241593882441521]","[0.5265246629714966, 0.39532187581062317, -0.07393466681241989]","[0.5124731063842773, 0.34524285793304443, -0.08313430845737457]","[0.5838931798934937, 0.5724580883979797, -0.0628739446401596]","[0.5996213555335999, 0.49778392910957336, -0.08026377856731415]","[0.6060292720794678, 0.4446406960487366, -0.08771488815546036]","[0.6060843467712402, 0.3956146240234375, -0.09294690936803818]"
"[0.5596726536750793, 0.7729712724685669, 0.0]","[0.504909098148346, 0.7549081444740295, -0.020788870751857758]","[0.4509682357311249, 0.7188470959663391, -0.03572184219956398]","[0.41579851508140564, 0.6889821290969849, -0.052102189511060715]","[0.40900281071662903, 0.6624562740325928, -0.0664069801568985]","[0.47926419973373413, 0.580967128276825, -0.014253063127398491]","[0.4423188269138336, 0.5289410948753357, -0.0416329950094223]","[0.42693203687667847, 0.5714343190193176, -0.05287959799170494]","[0.4229927062988281, 0.6168617010116577, -0.05696858465671539]","[0.511175274848938, 0.5524113178253174, -0.025433892384171486]","[0.4873892664909363, 0.45494702458381653, -0.04575412720441818]","[0.45756614208221436, 0.40321922302246094, -0.06064996123313904]","[0.4307648241519928, 0.3561534285545349, -0.07373043149709702]","[0.54619300365448, 0.5534382462501526, -0.04255170002579689]","[0.5383976697921753, 0.45607614517211914, -0.0628921389579773]","[0.5236420035362244, 0.39788389205932617, -0.07404784113168716]","[0.5080423355102539, 0.34900790452957153, -0.08301106095314026]","[0.5822969675064087, 0.574637234210968, -0.06305081397294998]","[0.5974858403205872, 0.49966907501220703, -0.08059826493263245]","[0.6033704280853271, 0.4468685984611511, -0.08782786875963211]","[0.602634608745575, 0.39797312021255493, -0.09285443276166916]"
"[0.5594035983085632, 0.774314284324646, 0.0]","[0.5040108561515808, 0.7549044489860535, -0.021491017192602158]","[0.44948694109916687, 0.7182307243347168, -0.036502208560705185]","[0.41462820768356323, 0.6873173117637634, -0.052858348935842514]","[0.4086872339248657, 0.658370316028595, -0.06711874902248383]","[0.47941258549690247, 0.5803692936897278, -0.01405896246433258]","[0.4431186616420746, 0.5271084904670715, -0.04162630811333656]","[0.42716747522354126, 0.5687918066978455, -0.053226009011268616]","[0.4227595329284668, 0.6145071387290955, -0.05747954174876213]","[0.5114142894744873, 0.5523033738136292, -0.024681266397237778]","[0.4875892698764801, 0.45541948080062866, -0.045380622148513794]","[0.4570695161819458, 0.40439748764038086, -0.06072712317109108]","[0.4294300079345703, 0.3589562773704529, -0.07396156340837479]","[0.546269953250885, 0.5533719062805176, -0.04138816148042679]","[0.5379225611686707, 0.4573402404785156, -0.06188942492008209]","[0.5219869613647461, 0.40036410093307495, -0.073280468583107]","[0.5045743584632874, 0.353157639503479, -0.08230073004961014]","[0.5822007656097412, 0.5739889740943909, -0.06155897676944733]","[0.5977439284324646, 0.49897247552871704, -0.07917145639657974]","[0.6029218435287476, 0.4463009238243103, -0.08654192090034485]","[0.600814938545227, 0.39803338050842285, -0.09158002585172653]"
"[0.5612920522689819, 0.7720463871955872, 0.0]","[0.5059974193572998, 0.7512677907943726, -0.021549779921770096]","[0.45100319385528564, 0.7141788005828857, -0.03678801655769348]","[0.41679316759109497, 0.684025764465332, -0.05322888866066933]","[0.41211771965026855, 0.6552274823188782, -0.06753408908843994]","[0.4805184006690979, 0.5734349489212036, -0.015287644229829311]","[0.4439573287963867, 0.520202100276947, -0.04281853139400482]","[0.42961424589157104, 0.5650203227996826, -0.05426689237356186]","[0.425930917263031, 0.6142829060554504, -0.05828244611620903]","[0.5134961009025574, 0.5472018718719482, -0.02543984353542328]","[0.48958760499954224, 0.45246171951293945, -0.04654283821582794]","[0.459702730178833, 0.40384024381637573, -0.06181900203227997]","[0.43172118067741394, 0.36145448684692383, -0.07479874789714813]","[0.5490698218345642, 0.5499312281608582, -0.041478272527456284]","[0.5407478213310242, 0.45539265871047974, -0.06225578114390373]","[0.5232021808624268, 0.4010400176048279, -0.07339596003293991]","[0.5032777190208435, 0.35740184783935547, -0.0820428729057312]","[0.5853142738342285, 0.5715035796165466, -0.06088723987340927]","[0.5999302864074707, 0.49608463048934937, -0.07866226881742477]","[0.6032152771949768, 0.442926824092865, -0.0859270766377449]","[0.5982956886291504, 0.39561325311660767, -0.09072932600975037]"
"[0.5619810223579407, 0.7683676481246948, 0.0]","[0.5068857073783875, 0.7473710775375366, -0.022511862218379974]","[0.45213013887405396, 0.7096315026283264, -0.03810957446694374]","[0.41839227080345154, 0.679684042930603, -0.055018350481987]","[0.41238051652908325, 0.650749146938324, -0.0698992982506752]","[0.481581449508667, 0.566865086555481, -0.013961991295218468]","[0.4458581805229187, 0.5105661749839783, -0.04118255525827408]","[0.43093621730804443, 0.5543174743652344, -0.052812106907367706]","[0.42623692750930786, 0.6036081314086914, -0.05695319175720215]","[0.5151928663253784, 0.5417952537536621, -0.023635050281882286]","[0.49225929379463196, 0.4473843276500702, -0.04389415308833122]","[0.4621618390083313, 0.4013165235519409, -0.05868888273835182]","[0.4335293173789978, 0.36293065547943115, -0.0712280124425888]","[0.5506958365440369, 0.5457909107208252, -0.03957363963127136]","[0.5424333214759827, 0.4515650272369385, -0.05988476425409317]","[0.5231837630271912, 0.39952245354652405, -0.07065244019031525]","[0.5005276203155518, 0.3587106764316559, -0.07894041389226913]","[0.5866312980651855, 0.5675527453422546, -0.05909258499741554]","[0.6006516218185425, 0.49269217252731323, -0.07666051387786865]","[0.6019585728645325, 0.4413383901119232, -0.08370623737573624]","[0.5942064523696899, 0.39626044034957886, -0.08823999762535095]"
"[0.5628064870834351, 0.7672434449195862, 0.0]","[0.5063892006874084, 0.7454075813293457, -0.023579111322760582]","[0.4497649073600769, 0.7077239155769348, -0.03907085582613945]","[0.41701173782348633, 0.6752001047134399, -0.05617066100239754]","[0.4144209325313568, 0.6420770883560181, -0.07144338637590408]","[0.481085866689682, 0.565659761428833, -0.010141994804143906]","[0.44668635725975037, 0.5070134997367859, -0.03664117678999901]","[0.4322759509086609, 0.5462148189544678, -0.048455990850925446]","[0.42758479714393616, 0.5922983288764954, -0.052706968039274216]","[0.5158438086509705, 0.5413579940795898, -0.019291726872324944]","[0.49330225586891174, 0.4478552043437958, -0.03813294693827629]","[0.4646274447441101, 0.4020509123802185, -0.052516642957925797]","[0.4360924959182739, 0.3655993342399597, -0.06451254338026047]","[0.551897406578064, 0.5448347330093384, -0.035381875932216644]","[0.5430926084518433, 0.45354557037353516, -0.05452381446957588]","[0.5245088934898376, 0.4030190706253052, -0.06479187309741974]","[0.5009356737136841, 0.3650638163089752, -0.07256149500608444]","[0.5879107713699341, 0.5646301507949829, -0.055440373718738556]","[0.6017023324966431, 0.4909934997558594, -0.07237032800912857]","[0.6022235155105591, 0.44059816002845764, -0.07925025373697281]","[0.5923465490341187, 0.3974466323852539, -0.08346433192491531]"
"[0.5650586485862732, 0.7671891450881958, 0.0]","[0.5098113417625427, 0.7464153170585632, -0.020816005766391754]","[0.45554304122924805, 0.7085586190223694, -0.03468124568462372]","[0.4225095510482788, 0.6771379709243774, -0.05014514550566673]","[0.4148291349411011, 0.6486785411834717, -0.06372731924057007]","[0.48390182852745056, 0.5663363337516785, -0.010766778141260147]","[0.4473208487033844, 0.512357234954834, -0.03736491501331329]","[0.4337019622325897, 0.5551888942718506, -0.048209577798843384]","[0.4293712377548218, 0.6040551662445068, -0.05156725272536278]","[0.5181780457496643, 0.54123854637146, -0.021106593310832977]","[0.4963186979293823, 0.44807007908821106, -0.04057760536670685]","[0.4673740267753601, 0.40409791469573975, -0.053946353495121]","[0.4385685920715332, 0.36931923031806946, -0.06505131721496582]","[0.5543504953384399, 0.5448564291000366, -0.03786687180399895]","[0.546501636505127, 0.452939510345459, -0.05789396911859512]","[0.5276812314987183, 0.40489596128463745, -0.06705066561698914]","[0.5047193169593811, 0.3687528967857361, -0.07374923676252365]","[0.5906184315681458, 0.5669467449188232, -0.05822519212961197]","[0.6041389107704163, 0.4924229383468628, -0.07610583305358887]","[0.6041736602783203, 0.44253015518188477, -0.08252466470003128]","[0.5948200821876526, 0.39957869052886963, -0.086075060069561]"
"[0.5685497522354126, 0.7679346203804016, 0.0]","[0.5129212737083435, 0.746030330657959, -0.020566582679748535]","[0.4575452208518982, 0.7082115411758423, -0.034096669405698776]","[0.42444542050361633, 0.675910472869873, -0.04927964508533478]","[0.4188503921031952, 0.6464836597442627, -0.0626273974776268]","[0.48644137382507324, 0.5682427287101746, -0.009918132796883583]","[0.44961050152778625, 0.516855001449585, -0.0364641509950161]","[0.4354490041732788, 0.5585037469863892, -0.047400180250406265]","[0.43097537755966187, 0.6059209704399109, -0.05079520866274834]","[0.520463228225708, 0.5428414940834045, -0.020299192517995834]","[0.4991720914840698, 0.4496796131134033, -0.03966296464204788]","[0.47076475620269775, 0.40589439868927, -0.05316575616598129]","[0.4425700604915619, 0.3715130686759949, -0.06427755951881409]","[0.5569083094596863, 0.545795202255249, -0.03716988489031792]","[0.5493608117103577, 0.4542000889778137, -0.05708560347557068]","[0.5309841632843018, 0.4061245918273926, -0.06664610654115677]","[0.5085211396217346, 0.37023645639419556, -0.07356467843055725]","[0.5936583876609802, 0.5671810507774353, -0.05762801691889763]","[0.6073824167251587, 0.4936548173427582, -0.07526766508817673]","[0.6075896620750427, 0.4439661204814911, -0.08196326345205307]","[0.59844970703125, 0.4011877775192261, -0.08575984090566635]"
"[0.5711597800254822, 0.768491804599762, 0.0]","[0.5163877010345459, 0.7471112012863159, -0.02008829638361931]","[0.461990624666214, 0.7096354961395264, -0.033584240823984146]","[0.4300060272216797, 0.677222728729248, -0.0489121749997139]","[0.42483195662498474, 0.6462961435317993, -0.06245674565434456]","[0.4903976023197174, 0.5673549175262451, -0.009316825307905674]","[0.4559183120727539, 0.5115675926208496, -0.03567739203572273]","[0.44223037362098694, 0.5519266724586487, -0.046563342213630676]","[0.437997043132782, 0.5993900299072266, -0.0499635674059391]","[0.5252432227134705, 0.5425562858581543, -0.019956223666667938]","[0.5040612816810608, 0.4509832561016083, -0.03892553970217705]","[0.4758390784263611, 0.4066903591156006, -0.05227624624967575]","[0.44803160429000854, 0.37104618549346924, -0.06339742988348007]","[0.5621240139007568, 0.5459684729576111, -0.037102989852428436]","[0.55414879322052, 0.45626941323280334, -0.05720365047454834]","[0.5363289713859558, 0.40866953134536743, -0.06680350750684738]","[0.514505922794342, 0.3726203441619873, -0.0737442895770073]","[0.5992271304130554, 0.5678669810295105, -0.057795315980911255]","[0.6130145192146301, 0.4953925311565399, -0.07586079835891724]","[0.6138247847557068, 0.44584906101226807, -0.08267085999250412]","[0.6055724620819092, 0.4032254219055176, -0.08647248148918152]"
