"[0.6034958362579346, 0.854550302028656, 0.0]","[0.5432486534118652, 0.8059353828430176, -0.0017408460844308138]","[0.5038419365882874, 0.7302513718605042, -0.007942157797515392]","[0.49402472376823425, 0.6544200778007507, -0.02128417417407036]","[0.5167781710624695, 0.6207345724105835, -0.03172766789793968]","[0.5310315489768982, 0.6157301068305969, 0.020745163783431053]","[0.5236239433288574, 0.5170508623123169, 0.002148762810975313]","[0.5180419683456421, 0.46501657366752625, -0.009440493769943714]","[0.5164673924446106, 0.4173508584499359, -0.017092041671276093]","[0.5662366151809692, 0.619148850440979, 0.0033814723137766123]","[0.5550423860549927, 0.5429215431213379, -0.026666104793548584]","[0.5480494499206543, 0.6108611226081848, -0.027599574998021126]","[0.5519561171531677, 0.6488997936248779, -0.016941791400313377]","[0.6004510521888733, 0.6336816549301147, -0.019564790651202202]","[0.5913680195808411, 0.5618284940719604, -0.04612522944808006]","[0.5795506834983826, 0.6265897154808044, -0.03513695299625397]","[0.5824790596961975, 0.6624889373779297, -0.018907207995653152]","[0.6362565755844116, 0.6587884426116943, -0.045957330614328384]","[0.6232185363769531, 0.6001843810081482, -0.05645366013050079]","[0.6107068061828613, 0.6407862901687622, -0.047328636050224304]","[0.612726628780365, 0.6695048809051514, -0.035483770072460175]"
"[0.5755093097686768, 0.8179076910018921, 0.0]","[0.5188740491867065, 0.768631100654602, 0.0001272507943212986]","[0.4795151352882385, 0.693839967250824, -0.005216769874095917]","[0.4703623056411743, 0.6257501840591431, -0.018065599724650383]","[0.4909764230251312, 0.5971017479896545, -0.02846294827759266]","[0.5053132772445679, 0.5909817218780518, 0.02131069265305996]","[0.49810299277305603, 0.4937680959701538, 0.0028181811794638634]","[0.49355995655059814, 0.4427759051322937, -0.010408281348645687]","[0.4922429621219635, 0.3958311676979065, -0.019173363223671913]","[0.5381333231925964, 0.5919954776763916, 0.0037116336170583963]","[0.5305479168891907, 0.5102669596672058, -0.02404947206377983]","[0.5210243463516235, 0.562764585018158, -0.028494682163000107]","[0.5213310718536377, 0.6009994149208069, -0.021873068064451218]","[0.5706781148910522, 0.60502690076828, -0.01891196519136429]","[0.5661638975143433, 0.5290788412094116, -0.04161425307393074]","[0.5530011653900146, 0.5774269104003906, -0.03359270468354225]","[0.5523383021354675, 0.6145840883255005, -0.020978979766368866]","[0.6040533185005188, 0.6293021440505981, -0.044896237552165985]","[0.5970603227615356, 0.5673488974571228, -0.05221237242221832]","[0.5825469493865967, 0.5957477688789368, -0.04448796063661575]","[0.578675389289856, 0.6256003379821777, -0.035108935087919235]"
"[0.5673275589942932, 0.8096059560775757, 0.0]","[0.5108283758163452, 0.7635225653648376, -0.0008139248238876462]","[0.46962636709213257, 0.690659761428833, -0.00666589243337512]","[0.45860493183135986, 0.6236264109611511, -0.019810331985354424]","[0.47851234674453735, 0.5927901268005371, -0.030638108029961586]","[0.4954308867454529, 0.5859488844871521, 0.02039211429655552]","[0.4869704246520996, 0.48946112394332886, 0.0024946907069534063]","[0.4809284210205078, 0.4371054768562317, -0.010829448699951172]","[0.47859230637550354, 0.3896845579147339, -0.019782286137342453]","[0.5280739665031433, 0.5869688987731934, 0.0034119714982807636]","[0.5174261331558228, 0.5057584047317505, -0.023709818720817566]","[0.507223904132843, 0.5570522546768188, -0.0284729041159153]","[0.5086544156074524, 0.5967951416969299, -0.022229012101888657]","[0.5601589679718018, 0.5988598465919495, -0.018568065017461777]","[0.5526388883590698, 0.5229064226150513, -0.04059761017560959]","[0.538458526134491, 0.569012463092804, -0.03301423788070679]","[0.5390452146530151, 0.6063807010650635, -0.020863929763436317]","[0.5940660834312439, 0.6213776469230652, -0.04401770606637001]","[0.5842382907867432, 0.5599369406700134, -0.05099712684750557]","[0.5699648857116699, 0.5871450304985046, -0.04338964819908142]","[0.5679035782814026, 0.6162101626396179, -0.034255996346473694]"
"[0.5579454898834229, 0.7999457120895386, 0.0]","[0.5015321373939514, 0.7543765306472778, -0.0007125625270418823]","[0.4596838653087616, 0.683025598526001, -0.006807523779571056]","[0.44777172803878784, 0.6163889765739441, -0.020198287442326546]","[0.4677214026451111, 0.5854876637458801, -0.03127076104283333]","[0.48677220940589905, 0.5781949758529663, 0.019713781774044037]","[0.47750261425971985, 0.4821769595146179, 0.0012457252014428377]","[0.4703359603881836, 0.431510865688324, -0.012016603723168373]","[0.4671976864337921, 0.3844507932662964, -0.020875900983810425]","[0.5187878012657166, 0.5789486169815063, 0.0025243593845516443]","[0.5043953657150269, 0.4975549280643463, -0.025577573105692863]","[0.49575358629226685, 0.5526421070098877, -0.02919965609908104]","[0.5001575350761414, 0.5914572477340698, -0.02182307094335556]","[0.5503336191177368, 0.590671181678772, -0.019827725365757942]","[0.5401341915130615, 0.5143564343452454, -0.042782772332429886]","[0.5272349715232849, 0.5632659792900085, -0.03413521870970726]","[0.5302972793579102, 0.5995917320251465, -0.020957598462700844]","[0.5844596028327942, 0.6124559044837952, -0.04561492055654526]","[0.5718669295310974, 0.5518769025802612, -0.053153589367866516]","[0.5585145950317383, 0.5809892416000366, -0.045110754668712616]","[0.5586801171302795, 0.6092523336410522, -0.03546813875436783]"
"[0.5491670966148376, 0.790783703327179, 0.0]","[0.49313125014305115, 0.7468358874320984, -0.004902423359453678]","[0.4514654278755188, 0.6757269501686096, -0.012605716474354267]","[0.4390016794204712, 0.6074539422988892, -0.026930559426546097]","[0.45893535017967224, 0.5723568201065063, -0.038658127188682556]","[0.4778915345668793, 0.5711393356323242, 0.01862630620598793]","[0.4678291380405426, 0.47560515999794006, -0.0003833341470453888]","[0.45999670028686523, 0.42508596181869507, -0.013625350780785084]","[0.45683231949806213, 0.378803014755249, -0.022318396717309952]","[0.5096205472946167, 0.5707175135612488, 0.0030920214485377073]","[0.49411773681640625, 0.48991358280181885, -0.026125933974981308]","[0.48658791184425354, 0.5470865964889526, -0.029886119067668915]","[0.492077112197876, 0.5839227437973022, -0.021989796310663223]","[0.5403932332992554, 0.5817760229110718, -0.018217843025922775]","[0.5296728014945984, 0.5077860355377197, -0.04290469363331795]","[0.517683207988739, 0.5598264932632446, -0.03442959114909172]","[0.5220520496368408, 0.5952730178833008, -0.02056802622973919]","[0.5747164487838745, 0.602825939655304, -0.04331490024924278]","[0.5605216026306152, 0.5448651909828186, -0.052320849150419235]","[0.5478769540786743, 0.5761021375656128, -0.04466443136334419]","[0.5493634343147278, 0.6037624478340149, -0.03466635197401047]"
"[0.5435180068016052, 0.7843490242958069, 0.0]","[0.4870243966579437, 0.739807665348053, -0.006961040198802948]","[0.44664913415908813, 0.6721372604370117, -0.01567799411714077]","[0.4329831004142761, 0.6029025912284851, -0.030684346333146095]","[0.4511651396751404, 0.5611322522163391, -0.04304374009370804]","[0.47260791063308716, 0.5650214552879333, 0.016796575859189034]","[0.4622054398059845, 0.47084760665893555, -0.0027433570940047503]","[0.45420458912849426, 0.41944772005081177, -0.016304099932312965]","[0.45022910833358765, 0.37286052107810974, -0.02525203675031662]","[0.5038345456123352, 0.5641723275184631, 0.0017367711989209056]","[0.49083906412124634, 0.4831884801387787, -0.028956633061170578]","[0.484618216753006, 0.5414742231369019, -0.033273570239543915]","[0.4882175922393799, 0.5791577100753784, -0.025373289361596107]","[0.5341361165046692, 0.5754865407943726, -0.01927405409514904]","[0.5258888006210327, 0.5028032660484314, -0.04588122293353081]","[0.5146105885505676, 0.5586674213409424, -0.03775528445839882]","[0.516960084438324, 0.5966250896453857, -0.02358897216618061]","[0.5677222609519958, 0.5976359844207764, -0.044208649545907974]","[0.5550562143325806, 0.5411628484725952, -0.05502364784479141]","[0.5418617725372314, 0.5748429298400879, -0.04796416684985161]","[0.5405628085136414, 0.6045482158660889, -0.0379674918949604]"
"[0.5391097068786621, 0.7788242101669312, 0.0]","[0.48496171832084656, 0.7351263165473938, -0.008100159466266632]","[0.44602179527282715, 0.6681190133094788, -0.018921244889497757]","[0.4305711090564728, 0.5997893810272217, -0.03601888567209244]","[0.4476433992385864, 0.5500357747077942, -0.050270065665245056]","[0.46986478567123413, 0.5600313544273376, 0.013973831199109554]","[0.4613909125328064, 0.46567192673683167, -0.00802511628717184]","[0.45446085929870605, 0.41227948665618896, -0.02296505682170391]","[0.4512542188167572, 0.3655301630496979, -0.03270135074853897]","[0.5012224912643433, 0.559958815574646, -0.0015618077013641596]","[0.4865677058696747, 0.47754064202308655, -0.03640507906675339]","[0.4816926419734955, 0.5419365763664246, -0.04113242030143738]","[0.4862355589866638, 0.5818715691566467, -0.032376691699028015]","[0.5317800641059875, 0.5717744827270508, -0.02317771688103676]","[0.521673858165741, 0.496268093585968, -0.052427053451538086]","[0.5114051103591919, 0.5562971234321594, -0.04255477339029312]","[0.5147607326507568, 0.5960557460784912, -0.026741988956928253]","[0.5662797093391418, 0.5946738719940186, -0.04886244237422943]","[0.55272376537323, 0.5340068936347961, -0.06051824986934662]","[0.539480447769165, 0.5698176622390747, -0.052219174802303314]","[0.538292646408081, 0.6006184220314026, -0.04120464250445366]"
"[0.5393098592758179, 0.7792205810546875, 0.0]","[0.48517391085624695, 0.735673189163208, -0.00830867700278759]","[0.44615232944488525, 0.6713091731071472, -0.019409578293561935]","[0.43116968870162964, 0.6029882431030273, -0.036642931401729584]","[0.44728201627731323, 0.5491893291473389, -0.050919804722070694]","[0.4704952538013458, 0.5623409152030945, 0.013426052406430244]","[0.46208950877189636, 0.46634024381637573, -0.008752363733947277]","[0.4555118680000305, 0.41265153884887695, -0.023749951273202896]","[0.452482134103775, 0.3658487796783447, -0.033446069806814194]","[0.5021092295646667, 0.5612728595733643, -0.0019050550181418657]","[0.4877181649208069, 0.48002833127975464, -0.03656440228223801]","[0.4829539954662323, 0.5444611310958862, -0.041233453899621964]","[0.48693129420280457, 0.583565890789032, -0.032511573284864426]","[0.5326160788536072, 0.5731801390647888, -0.023262569680809975]","[0.5221115350723267, 0.4987698495388031, -0.0520005002617836]","[0.5118502378463745, 0.5587674379348755, -0.04177543893456459]","[0.5143986940383911, 0.5976269841194153, -0.026013487949967384]","[0.5669445991516113, 0.596798300743103, -0.048717960715293884]","[0.5533938407897949, 0.5356080532073975, -0.05999543145298958]","[0.5397512316703796, 0.5713739395141602, -0.05142924189567566]","[0.5371497869491577, 0.602149248123169, -0.04038825258612633]"
"[0.5339927673339844, 0.7834604978561401, 0.0]","[0.48163318634033203, 0.7391812801361084, -0.007836053147912025]","[0.44340524077415466, 0.671630322933197, -0.01807263307273388]","[0.43171000480651855, 0.6031420230865479, -0.034305449575185776]","[0.44857949018478394, 0.5540984272956848, -0.04776698350906372]","[0.4669296145439148, 0.5663747191429138, 0.013246198184788227]","[0.45834264159202576, 0.4710060954093933, -0.008405501954257488]","[0.45195311307907104, 0.4175243079662323, -0.023556407541036606]","[0.44902870059013367, 0.3696805238723755, -0.03346419706940651]","[0.49857449531555176, 0.5653605461120605, -0.0015063207829371095]","[0.4859873950481415, 0.48451656103134155, -0.03431537374854088]","[0.4798382520675659, 0.5449053645133972, -0.03945334628224373]","[0.4826841950416565, 0.5852925777435303, -0.03191518783569336]","[0.5289297103881836, 0.5778785943984985, -0.022006772458553314]","[0.5209929347038269, 0.5054231882095337, -0.049616046249866486]","[0.5095853209495544, 0.5618720650672913, -0.04105512052774429]","[0.5103510022163391, 0.6002987027168274, -0.026767130941152573]","[0.5622072815895081, 0.6018811464309692, -0.0464615598320961]","[0.5512357354164124, 0.5428330898284912, -0.057689014822244644]","[0.5371044874191284, 0.5761091113090515, -0.05042887106537819]","[0.5328568816184998, 0.6064552068710327, -0.040501516312360764]"
"[0.5297715663909912, 0.7907748222351074, 0.0]","[0.4773332178592682, 0.7449691295623779, -0.006021894980221987]","[0.44035765528678894, 0.6792826056480408, -0.015617016702890396]","[0.42842501401901245, 0.6146234273910522, -0.031593918800354004]","[0.4398883879184723, 0.5667672753334045, -0.04500150680541992]","[0.46123450994491577, 0.57730633020401, 0.01295613031834364]","[0.45327308773994446, 0.48009803891181946, -0.007946114987134933]","[0.44741082191467285, 0.42570042610168457, -0.0228915773332119]","[0.4450254738330841, 0.37703877687454224, -0.032720740884542465]","[0.49248194694519043, 0.5757699608802795, -0.002427315805107355]","[0.48094820976257324, 0.49619027972221375, -0.03357001394033432]","[0.47372835874557495, 0.5520533323287964, -0.03870705887675285]","[0.47636139392852783, 0.5922293066978455, -0.03183683753013611]","[0.5227677822113037, 0.5873301029205322, -0.023085253313183784]","[0.5152135491371155, 0.51372230052948, -0.048836901783943176]","[0.5032625198364258, 0.564687967300415, -0.04062773659825325]","[0.5038558840751648, 0.6021796464920044, -0.027460293844342232]","[0.5554459095001221, 0.6109470725059509, -0.047537315636873245]","[0.5451509952545166, 0.5506656169891357, -0.05779203027486801]","[0.5313212871551514, 0.5798829793930054, -0.050566744059324265]","[0.527617871761322, 0.6096997857093811, -0.041198547929525375]"
