"[0.9057314991950989, 0.8237202167510986, 0.0]","[0.8182220458984375, 0.7706326246261597, -0.05684430152177811]","[0.7564099431037903, 0.6420110464096069, -0.07396561652421951]","[0.7631023526191711, 0.4933348298072815, -0.0864824652671814]","[0.806629478931427, 0.4020755887031555, -0.09767796099185944]","[0.735292911529541, 0.5495637655258179, -0.018737483769655228]","[0.6777914762496948, 0.4239834249019623, -0.04338673874735832]","[0.6437721848487854, 0.33403223752975464, -0.058936815708875656]","[0.6159794330596924, 0.25074419379234314, -0.07191313803195953]","[0.7920297980308533, 0.5045307874679565, -0.01819331757724285]","[0.7499458193778992, 0.3854908347129822, -0.042544785887002945]","[0.7198840379714966, 0.30268317461013794, -0.06153028830885887]","[0.6921215653419495, 0.21916720271110535, -0.07705601304769516]","[0.8569822907447815, 0.49375975131988525, -0.029141850769519806]","[0.8626794815063477, 0.35986489057540894, -0.06771144270896912]","[0.8646494746208191, 0.2717782258987427, -0.09735076874494553]","[0.8651458621025085, 0.18896764516830444, -0.11390416324138641]","[0.9269443154335022, 0.506151020526886, -0.046353086829185486]","[0.9387232065200806, 0.391999751329422, -0.08202283829450607]","[0.9482265114784241, 0.3118245601654053, -0.10664607584476471]","[0.9578138589859009, 0.2325790524482727, -0.1212526336312294]"
"[0.8566036224365234, 0.8879581689834595, 0.0]","[0.774572491645813, 0.8229937553405762, -0.037152886390686035]","[0.7273640632629395, 0.690829873085022, -0.04701464623212814]","[0.748579740524292, 0.5531923770904541, -0.05636214837431908]","[0.7950969338417053, 0.47479894757270813, -0.06508822739124298]","[0.7130240797996521, 0.598669707775116, 0.005713334772735834]","[0.6623649597167969, 0.48104313015937805, -0.01355278491973877]","[0.6344424486160278, 0.40022045373916626, -0.026913311332464218]","[0.6122322678565979, 0.3245628774166107, -0.03843596205115318]","[0.7663835287094116, 0.5652332305908203, -0.0023036974016577005]","[0.7276254892349243, 0.4427938163280487, -0.018553532660007477]","[0.6982229948043823, 0.36392277479171753, -0.03548140823841095]","[0.6698884963989258, 0.2880615293979645, -0.05090924724936485]","[0.8221492171287537, 0.571575939655304, -0.020763875916600227]","[0.8246673345565796, 0.4401870369911194, -0.0506243035197258]","[0.8250634670257568, 0.3492095470428467, -0.07760635763406754]","[0.8238539695739746, 0.26650840044021606, -0.09434483200311661]","[0.8788896799087524, 0.6035012602806091, -0.04418012872338295]","[0.879248857498169, 0.5057904720306396, -0.0720524713397026]","[0.8835023641586304, 0.43745923042297363, -0.09270459413528442]","[0.8878810405731201, 0.3699955344200134, -0.10615837574005127]"
"[0.8491164445877075, 0.8839706182479858, 0.0]","[0.7658522129058838, 0.8190680146217346, -0.04083489999175072]","[0.7211726903915405, 0.6797507405281067, -0.0536031574010849]","[0.7484670281410217, 0.5358107089996338, -0.06469603627920151]","[0.8003996014595032, 0.4560241401195526, -0.07476361095905304]","[0.7040917873382568, 0.5757791996002197, -0.006971433293074369]","[0.6471166610717773, 0.44902878999710083, -0.025743352249264717]","[0.6126562356948853, 0.3636135458946228, -0.03573550656437874]","[0.5855344533920288, 0.2860087454319, -0.04545054957270622]","[0.7624108195304871, 0.544457197189331, -0.015232748351991177]","[0.7272231578826904, 0.41791531443595886, -0.030976124107837677]","[0.7009111642837524, 0.3346158266067505, -0.04233753681182861]","[0.677919864654541, 0.25752192735671997, -0.05386980250477791]","[0.8214814066886902, 0.5529297590255737, -0.03377390280365944]","[0.8340036273002625, 0.421519935131073, -0.0655331164598465]","[0.8378391861915588, 0.33108440041542053, -0.09062276780605316]","[0.8401100635528564, 0.24578842520713806, -0.1055855005979538]","[0.88117915391922, 0.5896146893501282, -0.05742228031158447]","[0.9005798697471619, 0.4921554625034332, -0.08811083436012268]","[0.9152364730834961, 0.42165684700012207, -0.10888935625553131]","[0.9285080432891846, 0.34800219535827637, -0.12179229408502579]"
"[0.8005512356758118, 0.8762459754943848, 0.0]","[0.71372389793396, 0.8115676045417786, -0.04826962575316429]","[0.6628401875495911, 0.6858565211296082, -0.06438583135604858]","[0.6826894283294678, 0.5454546809196472, -0.07746487110853195]","[0.7286568880081177, 0.45623618364334106, -0.08894066512584686]","[0.6344501972198486, 0.5796936750411987, -0.016239801421761513]","[0.5698156356811523, 0.4538251757621765, -0.03760421276092529]","[0.5305452942848206, 0.37257593870162964, -0.05008724331855774]","[0.49845102429389954, 0.296940416097641, -0.061566174030303955]","[0.6949449181556702, 0.5426461696624756, -0.021466290578246117]","[0.6574089527130127, 0.4251132607460022, -0.03979545086622238]","[0.6370687484741211, 0.3488709032535553, -0.053703729063272476]","[0.618463933467865, 0.27530473470687866, -0.06757859140634537]","[0.7587229013442993, 0.5408951640129089, -0.037617605179548264]","[0.7758020162582397, 0.41040101647377014, -0.07288344204425812]","[0.7878464460372925, 0.32419195771217346, -0.10188224166631699]","[0.7956221103668213, 0.24532699584960938, -0.1197388619184494]","[0.8246079087257385, 0.5630573034286499, -0.05912147834897041]","[0.8569949865341187, 0.4584193825721741, -0.09260678291320801]","[0.8868736028671265, 0.3836967945098877, -0.11683662235736847]","[0.9123826026916504, 0.3105577230453491, -0.13273338973522186]"
"[0.6999852061271667, 0.7954064607620239, 0.0]","[0.6176039576530457, 0.744122326374054, -0.029312115162611008]","[0.570732593536377, 0.6321503520011902, -0.04031569883227348]","[0.5857027173042297, 0.5092080235481262, -0.051493413746356964]","[0.6211780309677124, 0.4326862096786499, -0.06205524131655693]","[0.5478833317756653, 0.5409014225006104, -0.007540309336036444]","[0.48200684785842896, 0.4375215470790863, -0.028515618294477463]","[0.43949446082115173, 0.3698539137840271, -0.04101553559303284]","[0.4045335650444031, 0.3073606491088867, -0.05143078789114952]","[0.5979321002960205, 0.5036609172821045, -0.01905718445777893]","[0.5525428652763367, 0.3876795172691345, -0.03668057918548584]","[0.5233640670776367, 0.31417638063430786, -0.050186384469270706]","[0.49694275856018066, 0.24705609679222107, -0.06339963525533676]","[0.6501979827880859, 0.500803530216217, -0.03873681277036667]","[0.6516736745834351, 0.37683963775634766, -0.06929367780685425]","[0.6499141454696655, 0.29232192039489746, -0.09444243460893631]","[0.6465431451797485, 0.2155650556087494, -0.1102944016456604]","[0.703927218914032, 0.5217840671539307, -0.06219000369310379]","[0.7201408743858337, 0.4300096333026886, -0.09027446806430817]","[0.7374387383460999, 0.36251094937324524, -0.10989238321781158]","[0.7525234818458557, 0.2962167263031006, -0.12304354459047318]"
"[0.6475338935852051, 0.7303736805915833, 0.0]","[0.5744105577468872, 0.6873514652252197, -0.023055290803313255]","[0.5351212024688721, 0.588468074798584, -0.030624184757471085]","[0.5475861430168152, 0.4786958396434784, -0.0385906882584095]","[0.5782082080841064, 0.41376936435699463, -0.04574401304125786]","[0.5150429606437683, 0.5177335739135742, -0.003367933677509427]","[0.4569515287876129, 0.4348756670951843, -0.019691647961735725]","[0.41834908723831177, 0.3794591426849365, -0.028477028012275696]","[0.3866453468799591, 0.3272767663002014, -0.035967860370874405]","[0.5540373921394348, 0.48131173849105835, -0.013214580714702606]","[0.5103747248649597, 0.3844865560531616, -0.026481321081519127]","[0.4816189408302307, 0.32328900694847107, -0.03604510426521301]","[0.45774099230766296, 0.26545363664627075, -0.04577716439962387]","[0.5961349606513977, 0.47487974166870117, -0.029883382841944695]","[0.5937923789024353, 0.3662277162075043, -0.05385739728808403]","[0.5891843438148499, 0.29548341035842896, -0.0731886625289917]","[0.5851465463638306, 0.23042437434196472, -0.08522724360227585]","[0.6399490833282471, 0.4895545244216919, -0.04978809878230095]","[0.6514936685562134, 0.40876251459121704, -0.07159459590911865]","[0.664391279220581, 0.34962886571884155, -0.08676712214946747]","[0.6759975552558899, 0.2908893823623657, -0.09675708413124084]"
"[0.7412179708480835, 0.7446195483207703, 0.0]","[0.6856964826583862, 0.730951189994812, -0.02581014670431614]","[0.6413853168487549, 0.6941275000572205, -0.0462830625474453]","[0.6204923987388611, 0.6527562141418457, -0.06892052292823792]","[0.5883383750915527, 0.6218289732933044, -0.09123537689447403]","[0.6088088750839233, 0.5275809168815613, -0.013685823418200016]","[0.5559824705123901, 0.45925799012184143, -0.041390687227249146]","[0.5216403007507324, 0.4259236454963684, -0.060015831142663956]","[0.48972660303115845, 0.40300101041793823, -0.07295837253332138]","[0.6489217281341553, 0.4938536286354065, -0.028805159032344818]","[0.6102114319801331, 0.38160812854766846, -0.047996535897254944]","[0.5846490859985352, 0.3204568028450012, -0.06479515135288239]","[0.5549867749214172, 0.26653069257736206, -0.08056902885437012]","[0.6929177045822144, 0.501899003982544, -0.05154107138514519]","[0.6880234479904175, 0.40165120363235474, -0.07967493683099747]","[0.6756719946861267, 0.3392687439918518, -0.10342047363519669]","[0.6559340953826904, 0.28550323843955994, -0.12028869241476059]","[0.7398574948310852, 0.5415922403335571, -0.07800565659999847]","[0.7424106597900391, 0.493155837059021, -0.10331598669290543]","[0.7360108494758606, 0.484515905380249, -0.11833357810974121]","[0.7210529446601868, 0.4795542359352112, -0.12959550321102142]"
"[0.7215760350227356, 0.7380993366241455, 0.0]","[0.6645150780677795, 0.7203167676925659, -0.022075731307268143]","[0.623523473739624, 0.6808815598487854, -0.04062720015645027]","[0.6071220636367798, 0.6437750458717346, -0.062382012605667114]","[0.5821292996406555, 0.6155665516853333, -0.08372986316680908]","[0.5993087291717529, 0.5071626305580139, -0.006485933903604746]","[0.5520592927932739, 0.44207775592803955, -0.03433138132095337]","[0.5210291147232056, 0.41079044342041016, -0.05312880873680115]","[0.49244987964630127, 0.38801878690719604, -0.06590967625379562]","[0.6416018009185791, 0.47926196455955505, -0.024041611701250076]","[0.6109709143638611, 0.3695792555809021, -0.04339306801557541]","[0.5908293724060059, 0.30808699131011963, -0.05975145474076271]","[0.566193163394928, 0.2523346543312073, -0.07496970146894455]","[0.6846253275871277, 0.4942789375782013, -0.04967833310365677]","[0.6890127658843994, 0.3958561420440674, -0.07780913263559341]","[0.6809020638465881, 0.33489906787872314, -0.10046833753585815]","[0.6654127240180969, 0.28251153230667114, -0.11625727266073227]","[0.7283278703689575, 0.5417640209197998, -0.07909005135297775]","[0.7404378652572632, 0.49564382433891296, -0.10423903912305832]","[0.7375094890594482, 0.48490607738494873, -0.11909035593271255]","[0.7254827618598938, 0.4768185615539551, -0.13005603849887848]"
"[0.7126742601394653, 0.7340531349182129, 0.0]","[0.6544188261032104, 0.6998376846313477, -0.015329765155911446]","[0.6147173047065735, 0.6543444395065308, -0.0368160679936409]","[0.5902076959609985, 0.6272217631340027, -0.06259037554264069]","[0.557892382144928, 0.6061789393424988, -0.08783059567213058]","[0.6262778043746948, 0.47594019770622253, -0.01021835021674633]","[0.5919557809829712, 0.3964858651161194, -0.04126144200563431]","[0.560662031173706, 0.3673965036869049, -0.06354463845491409]","[0.5278443098068237, 0.3527712821960449, -0.0792696475982666]","[0.671704113483429, 0.4701381027698517, -0.033447764813899994]","[0.6701980829238892, 0.35750213265419006, -0.05853715166449547]","[0.6557326316833496, 0.29505598545074463, -0.07952848076820374]","[0.6321221590042114, 0.2452842891216278, -0.0985548198223114]","[0.7117934226989746, 0.5034644603729248, -0.06312932819128036]","[0.7362132668495178, 0.42957040667533875, -0.09684894233942032]","[0.73552405834198, 0.37881171703338623, -0.12139669060707092]","[0.7234990000724792, 0.3327298164367676, -0.13811571896076202]","[0.7429264783859253, 0.5671190023422241, -0.09546422213315964]","[0.7492122650146484, 0.5481379628181458, -0.12377651035785675]","[0.7306848764419556, 0.5649122595787048, -0.13666558265686035]","[0.7043692469596863, 0.5844253897666931, -0.14636117219924927]"
"[0.7059522271156311, 0.7336850762367249, 0.0]","[0.6488806009292603, 0.708655595779419, -0.0175385233014822]","[0.6059315204620361, 0.6583577394485474, -0.04237135127186775]","[0.5771369338035583, 0.6309735774993896, -0.0713314563035965]","[0.5357643365859985, 0.6100451946258545, -0.10052783787250519]","[0.6072719097137451, 0.490235298871994, -0.02444874867796898]","[0.5632932782173157, 0.4045458137989044, -0.06169586628675461]","[0.5264594554901123, 0.379144549369812, -0.08743896335363388]","[0.4871371388435364, 0.37025049328804016, -0.1050104945898056]","[0.6502031683921814, 0.4828933775424957, -0.047543965280056]","[0.6391552090644836, 0.3652326464653015, -0.07797752320766449]","[0.6181930303573608, 0.3019205629825592, -0.10180848091840744]","[0.5873196721076965, 0.2505829334259033, -0.1225229799747467]","[0.691709578037262, 0.5152336955070496, -0.07673034071922302]","[0.7026385068893433, 0.4239672124385834, -0.1117098480463028]","[0.690828263759613, 0.3658079206943512, -0.13716402649879456]","[0.6676923036575317, 0.31436997652053833, -0.1558392196893692]","[0.7267732620239258, 0.5769613981246948, -0.10843940824270248]","[0.7280362248420715, 0.5364096164703369, -0.13808771967887878]","[0.7082310318946838, 0.52737957239151, -0.1527044028043747]","[0.680133044719696, 0.5213747024536133, -0.16439317166805267]"
