"[0.6914973855018616, 0.8930889964103699, 0.0]","[0.6340606808662415, 0.8658535480499268, -0.023561183363199234]","[0.5975645780563354, 0.8043856620788574, -0.038464780896902084]","[0.6172685027122498, 0.7375032901763916, -0.054302509874105453]","[0.6538762450218201, 0.7003028392791748, -0.06976014375686646]","[0.6000271439552307, 0.6553521156311035, -0.004629919771105051]","[0.5637267231941223, 0.5651500821113586, -0.020206352695822716]","[0.5405380725860596, 0.5059680342674255, -0.032322484999895096]","[0.5245339274406433, 0.4503253400325775, -0.04263864457607269]","[0.6430503726005554, 0.6374320983886719, -0.017192620784044266]","[0.6295506358146667, 0.5226384401321411, -0.024267001077532768]","[0.6219587326049805, 0.4499378502368927, -0.03473002091050148]","[0.6148353815078735, 0.3876873254776001, -0.04768987372517586]","[0.6810357570648193, 0.6492552161216736, -0.03654893487691879]","[0.6882184743881226, 0.5472578406333923, -0.05567525699734688]","[0.6854705214500427, 0.47920089960098267, -0.07704057544469833]","[0.6804105639457703, 0.4173034727573395, -0.09352389723062515]","[0.7147027254104614, 0.6874243021011353, -0.05935581028461456]","[0.7027468681335449, 0.6232187747955322, -0.07676293700933456]","[0.6821560263633728, 0.642906129360199, -0.08768235892057419]","[0.6636264324188232, 0.6785423755645752, -0.09716444462537766]"
"[0.6891732215881348, 0.8909383416175842, 0.0]","[0.6323011517524719, 0.8637443780899048, -0.023645220324397087]","[0.5951338410377502, 0.8044687509536743, -0.03896573930978775]","[0.6149544715881348, 0.7371525764465332, -0.055052049458026886]","[0.6510300040245056, 0.699493408203125, -0.07073820382356644]","[0.5989841222763062, 0.6558256149291992, -0.006247017532587051]","[0.5637579560279846, 0.5663561224937439, -0.02156141959130764]","[0.5405023694038391, 0.5079604983329773, -0.033229582011699677]","[0.5239240527153015, 0.45259949564933777, -0.043272871524095535]","[0.6409013271331787, 0.6375174522399902, -0.018778791651129723]","[0.628550112247467, 0.5218176245689392, -0.025512684136629105]","[0.6200392842292786, 0.4484510123729706, -0.0352790541946888]","[0.6112322807312012, 0.38641488552093506, -0.047871265560388565]","[0.6784517168998718, 0.6492293477058411, -0.037913862615823746]","[0.6862022876739502, 0.5464445352554321, -0.056670572608709335]","[0.6841710805892944, 0.4766661822795868, -0.07726931571960449]","[0.6790872812271118, 0.41227787733078003, -0.09339487552642822]","[0.7102886438369751, 0.6895220875740051, -0.06043397635221481]","[0.6975820660591125, 0.622788667678833, -0.07768628001213074]","[0.6756474375724792, 0.644692599773407, -0.08771739900112152]","[0.6577280163764954, 0.6837389469146729, -0.0965847596526146]"
"[0.6874938607215881, 0.8893542289733887, 0.0]","[0.6315596699714661, 0.8617501258850098, -0.023240836337208748]","[0.5966424942016602, 0.7994662523269653, -0.038931891322135925]","[0.619530439376831, 0.7318229675292969, -0.05561951920390129]","[0.6583619117736816, 0.6947090029716492, -0.07209745049476624]","[0.6002622246742249, 0.6529998183250427, -0.005777169484645128]","[0.5657110810279846, 0.5620463490486145, -0.021413298323750496]","[0.5423613786697388, 0.5032311081886292, -0.033630747348070145]","[0.5254409909248352, 0.44894102215766907, -0.04414026811718941]","[0.6428900957107544, 0.6353160738945007, -0.019326405599713326]","[0.6299748420715332, 0.5201925039291382, -0.026530656963586807]","[0.6207603812217712, 0.44645994901657104, -0.03679857403039932]","[0.6118964552879333, 0.38535237312316895, -0.04968041926622391]","[0.6804213523864746, 0.6476919651031494, -0.039581671357154846]","[0.6889334917068481, 0.5430009365081787, -0.05926674231886864]","[0.6873860955238342, 0.4707343876361847, -0.0803108960390091]","[0.6833635568618774, 0.406118780374527, -0.0966046079993248]","[0.712040901184082, 0.6876064538955688, -0.06316696107387543]","[0.7013888955116272, 0.6222666501998901, -0.08152186870574951]","[0.6811066269874573, 0.6429194211959839, -0.09191485494375229]","[0.6643648743629456, 0.6798459887504578, -0.10096756368875504]"
"[0.6922581195831299, 0.8881874084472656, 0.0]","[0.6347687840461731, 0.8621013164520264, -0.024852365255355835]","[0.5997253060340881, 0.7994658946990967, -0.04072297364473343]","[0.623063862323761, 0.731840968132019, -0.05714191123843193]","[0.6639736294746399, 0.6954885721206665, -0.0733352079987526]","[0.6030442118644714, 0.6544500589370728, -0.007346450351178646]","[0.5693013668060303, 0.5643611550331116, -0.023289604112505913]","[0.5461785197257996, 0.5053353309631348, -0.0355079211294651]","[0.5297414064407349, 0.4505966901779175, -0.045762788504362106]","[0.6462845802307129, 0.6358543634414673, -0.019452238455414772]","[0.6323501467704773, 0.5206655263900757, -0.026074890047311783]","[0.6230980157852173, 0.44658321142196655, -0.03591617941856384]","[0.6151888370513916, 0.38299041986465454, -0.04868277534842491]","[0.683996319770813, 0.6461879014968872, -0.03839592635631561]","[0.691979169845581, 0.5427007675170898, -0.057495083659887314]","[0.689923107624054, 0.47127848863601685, -0.07869832217693329]","[0.6858450174331665, 0.4049905240535736, -0.09528730064630508]","[0.71747887134552, 0.6832857728004456, -0.06078852340579033]","[0.7068595886230469, 0.6191245913505554, -0.07902105897665024]","[0.6893091797828674, 0.6420301795005798, -0.08952360600233078]","[0.6734232306480408, 0.6801493763923645, -0.09861789643764496]"
"[0.6961970329284668, 0.8879441022872925, 0.0]","[0.6402205228805542, 0.8617038130760193, -0.02388746850192547]","[0.6055094003677368, 0.7988638877868652, -0.038921598345041275]","[0.629616379737854, 0.7311654090881348, -0.054623302072286606]","[0.6700886487960815, 0.696366012096405, -0.06994996964931488]","[0.6094019412994385, 0.6522512435913086, -0.004451665095984936]","[0.5744653344154358, 0.5620589852333069, -0.019182294607162476]","[0.5512264966964722, 0.5033907890319824, -0.030844181776046753]","[0.5352767109870911, 0.4487365186214447, -0.040904492139816284]","[0.6521741151809692, 0.6334146857261658, -0.01672944240272045]","[0.6378947496414185, 0.5201406478881836, -0.022602438926696777]","[0.6282446980476379, 0.44688984751701355, -0.03204869106411934]","[0.6198362112045288, 0.38425955176353455, -0.04443611204624176]","[0.6899844408035278, 0.6440297961235046, -0.035905707627534866]","[0.6989161372184753, 0.5409637689590454, -0.05483417958021164]","[0.698783814907074, 0.4691663384437561, -0.07582277804613113]","[0.6964787244796753, 0.40248405933380127, -0.09202414005994797]","[0.722278356552124, 0.6825655698776245, -0.05844198167324066]","[0.7121724486351013, 0.6185765266418457, -0.07625064253807068]","[0.6932851672172546, 0.6410780549049377, -0.086628757417202]","[0.6779693365097046, 0.6789018511772156, -0.09563017636537552]"
"[0.7044497728347778, 0.8877339959144592, 0.0]","[0.6474158763885498, 0.8605208992958069, -0.025400174781680107]","[0.6123875975608826, 0.7977709174156189, -0.04023321345448494]","[0.6378104090690613, 0.7313036918640137, -0.054992206394672394]","[0.6787514686584473, 0.695832371711731, -0.06918153911828995]","[0.6162350177764893, 0.6539610028266907, -0.006370573304593563]","[0.5813674926757812, 0.5632695555686951, -0.0207380261272192]","[0.5581135749816895, 0.504370927810669, -0.03170037269592285]","[0.5421620011329651, 0.44843488931655884, -0.041304267942905426]","[0.658984363079071, 0.6346420049667358, -0.01710858941078186]","[0.6450763940811157, 0.520842969417572, -0.022821495309472084]","[0.6366783380508423, 0.44764211773872375, -0.031308021396398544]","[0.6287394165992737, 0.38470304012298584, -0.042964816093444824]","[0.6965547204017639, 0.6441170573234558, -0.03480841591954231]","[0.7049888968467712, 0.5428793430328369, -0.05308730527758598]","[0.7093427181243896, 0.47050175070762634, -0.07303394377231598]","[0.7107340097427368, 0.4037807285785675, -0.08858856558799744]","[0.7290356159210205, 0.6817920207977295, -0.05609935522079468]","[0.7135469317436218, 0.6208897233009338, -0.07326281815767288]","[0.6936202049255371, 0.6440048813819885, -0.08343268930912018]","[0.6769609451293945, 0.682019829750061, -0.0922817811369896]"
"[0.7121643424034119, 0.8870716691017151, 0.0]","[0.6566710472106934, 0.8626493215560913, -0.028759462758898735]","[0.6213459968566895, 0.8003930449485779, -0.044377170503139496]","[0.6451025009155273, 0.7333155870437622, -0.058996789157390594]","[0.6852394342422485, 0.6979706883430481, -0.07336607575416565]","[0.6249485611915588, 0.6519141793251038, -0.010156650096178055]","[0.5901248455047607, 0.5614750385284424, -0.024884125217795372]","[0.5671988725662231, 0.501040518283844, -0.035975031554698944]","[0.5519143342971802, 0.4436521530151367, -0.04595400393009186]","[0.6676315069198608, 0.632172703742981, -0.01962672360241413]","[0.6540152430534363, 0.5191906094551086, -0.02617402747273445]","[0.645646333694458, 0.4459773898124695, -0.035181302577257156]","[0.6386122703552246, 0.38476112484931946, -0.04728947952389717]","[0.7053952813148499, 0.6418633460998535, -0.036242853850126266]","[0.7141608595848083, 0.5396618843078613, -0.057546429336071014]","[0.7212243676185608, 0.4652893841266632, -0.07961755990982056]","[0.725741446018219, 0.39754724502563477, -0.09597508609294891]","[0.7382998466491699, 0.6788557171821594, -0.056463759392499924]","[0.7210474610328674, 0.6213338375091553, -0.07692143321037292]","[0.7003543376922607, 0.6473188996315002, -0.08903235197067261]","[0.6834602952003479, 0.6865154504776001, -0.09876424819231033]"
"[0.7176254391670227, 0.8884587287902832, 0.0]","[0.6635209918022156, 0.8631641268730164, -0.026982039213180542]","[0.6298344135284424, 0.7995384931564331, -0.042785558849573135]","[0.6540364623069763, 0.7329221963882446, -0.05831851810216904]","[0.6938575506210327, 0.6966372728347778, -0.07355797290802002]","[0.6325173377990723, 0.6507740616798401, -0.008042966946959496]","[0.5988795757293701, 0.559278666973114, -0.02356753870844841]","[0.5770226716995239, 0.4975994825363159, -0.03593306243419647]","[0.5629665851593018, 0.43993717432022095, -0.046864103525877]","[0.6770962476730347, 0.6318844556808472, -0.019094448536634445]","[0.6652767658233643, 0.5188068151473999, -0.026682641357183456]","[0.6571874618530273, 0.4448262155056, -0.03748822212219238]","[0.6508961915969849, 0.3828018605709076, -0.05086765065789223]","[0.716313898563385, 0.6437588930130005, -0.037171222269535065]","[0.7262542843818665, 0.5410159826278687, -0.05908523127436638]","[0.7308614253997803, 0.46666258573532104, -0.0821961909532547]","[0.7342220544815063, 0.3998944163322449, -0.09937179088592529]","[0.750165581703186, 0.681816577911377, -0.0586666502058506]","[0.7354022264480591, 0.6237956285476685, -0.07960633933544159]","[0.715212881565094, 0.6466497182846069, -0.09234873950481415]","[0.6988143920898438, 0.6826361417770386, -0.10267733037471771]"
"[0.7251612544059753, 0.8907159566879272, 0.0]","[0.6716545224189758, 0.863625168800354, -0.02580290473997593]","[0.6390954852104187, 0.7996090650558472, -0.0422176793217659]","[0.6636053919792175, 0.7334808111190796, -0.058679670095443726]","[0.702460765838623, 0.6961202025413513, -0.07494059205055237]","[0.6422288417816162, 0.6531335711479187, -0.00923874694854021]","[0.6090612411499023, 0.5602929592132568, -0.025382308289408684]","[0.5868549346923828, 0.4975828528404236, -0.03818158432841301]","[0.5720216035842896, 0.4398036003112793, -0.04923400282859802]","[0.6866241693496704, 0.6353813409805298, -0.021013185381889343]","[0.6750228404998779, 0.5197716355323792, -0.02844936214387417]","[0.6673766374588013, 0.4435889720916748, -0.039342302829027176]","[0.660672128200531, 0.3806764781475067, -0.052865512669086456]","[0.7258782386779785, 0.6482232213020325, -0.039538539946079254]","[0.7355208992958069, 0.5421157479286194, -0.06040442734956741]","[0.7380686402320862, 0.46523696184158325, -0.08322450518608093]","[0.7389029264450073, 0.3970457911491394, -0.10073106735944748]","[0.7590741515159607, 0.6884124875068665, -0.061316393315792084]","[0.7451565861701965, 0.6241409778594971, -0.08117654174566269]","[0.7252936959266663, 0.6441500782966614, -0.09301642328500748]","[0.709158718585968, 0.6803284883499146, -0.10307510197162628]"
"[0.7314195036888123, 0.8892210721969604, 0.0]","[0.6767087578773499, 0.8619471788406372, -0.024787787348031998]","[0.6457710266113281, 0.7984842658042908, -0.041863538324832916]","[0.6713261604309082, 0.7326924204826355, -0.05950675532221794]","[0.7117097973823547, 0.6967143416404724, -0.07737299799919128]","[0.6487932801246643, 0.6513090133666992, -0.010772204026579857]","[0.6165028214454651, 0.5588529109954834, -0.02771422639489174]","[0.5952471494674683, 0.495188444852829, -0.041101500391960144]","[0.581118643283844, 0.43809279799461365, -0.052491195499897]","[0.6946737766265869, 0.6333686113357544, -0.024185240268707275]","[0.6826370358467102, 0.5150291323661804, -0.0317944698035717]","[0.6753208041191101, 0.4386058747768402, -0.04317392408847809]","[0.6702476739883423, 0.3765255808830261, -0.057279594242572784]","[0.7349615693092346, 0.6468957662582397, -0.04417900741100311]","[0.7447995543479919, 0.5370861887931824, -0.06476610898971558]","[0.7443345785140991, 0.46019333600997925, -0.08790716528892517]","[0.7433350086212158, 0.393435537815094, -0.10615912079811096]","[0.7701659798622131, 0.6877542734146118, -0.0673142820596695]","[0.7597314715385437, 0.6199314594268799, -0.08700910210609436]","[0.7419589757919312, 0.6392906904220581, -0.09860865026712418]","[0.7266020774841309, 0.6760540008544922, -0.10883449018001556]"
