"[0.6864010691642761, 0.8853368163108826, 0.0]","[0.6296254396438599, 0.8378828763961792, -0.022096065804362297]","[0.6017962694168091, 0.7519597411155701, -0.043756719678640366]","[0.6232897639274597, 0.6901372671127319, -0.07060310244560242]","[0.6673617362976074, 0.6513289213180542, -0.09572944045066833]","[0.6339324116706848, 0.5853032469749451, -0.01840144954621792]","[0.6077014207839966, 0.46128028631210327, -0.050927501171827316]","[0.5897674560546875, 0.3867952227592468, -0.06867516040802002]","[0.5802818536758423, 0.3207050859928131, -0.0823388621211052]","[0.6867345571517944, 0.5904368162155151, -0.04027818143367767]","[0.6952057480812073, 0.44419795274734497, -0.07547055929899216]","[0.6906034350395203, 0.35313335061073303, -0.09123772382736206]","[0.6924856305122375, 0.27645793557167053, -0.10131314396858215]","[0.7323110103607178, 0.6318579316139221, -0.06890648603439331]","[0.7287915349006653, 0.5286955833435059, -0.10658804327249527]","[0.6906830668449402, 0.6182774901390076, -0.09597481042146683]","[0.6705297231674194, 0.6933780312538147, -0.0820445790886879]","[0.7681934237480164, 0.6944943070411682, -0.10371442884206772]","[0.7401219010353088, 0.6423846483230591, -0.131126269698143]","[0.7035748362541199, 0.7035043835639954, -0.1248045340180397]","[0.6812878251075745, 0.7570396065711975, -0.11459825932979584]"
"[0.682900607585907, 0.8837071657180786, 0.0]","[0.6269122362136841, 0.8350973129272461, -0.017927896231412888]","[0.5963976979255676, 0.7519237995147705, -0.03883291035890579]","[0.6127630472183228, 0.6924707293510437, -0.06595703214406967]","[0.6543446183204651, 0.6563352346420288, -0.09145405143499374]","[0.6276537179946899, 0.5856334567070007, -0.015507896430790424]","[0.6016924977302551, 0.46118515729904175, -0.04790685325860977]","[0.5839059352874756, 0.3870072066783905, -0.06614775955677032]","[0.5740627646446228, 0.3212231993675232, -0.08015406131744385]","[0.6800397038459778, 0.5888557434082031, -0.039341311901807785]","[0.6871305108070374, 0.444192111492157, -0.07419737428426743]","[0.6817958354949951, 0.35309210419654846, -0.0906115472316742]","[0.6826392412185669, 0.27652740478515625, -0.10141657292842865]","[0.7256977558135986, 0.6281471252441406, -0.06945250183343887]","[0.7198073267936707, 0.5276302099227905, -0.10581483691930771]","[0.6823905110359192, 0.6147013902664185, -0.09582982212305069]","[0.6622592210769653, 0.6881770491600037, -0.08291404694318771]","[0.7617092132568359, 0.6888124942779541, -0.10544652491807938]","[0.7311340570449829, 0.6404033303260803, -0.13117104768753052]","[0.6956148147583008, 0.6993434429168701, -0.12474775314331055]","[0.6739813089370728, 0.7515260577201843, -0.11508319526910782]"
"[0.6744322776794434, 0.8786013126373291, 0.0]","[0.6187099814414978, 0.829180121421814, -0.0187515988945961]","[0.5870634317398071, 0.7456337809562683, -0.03920699283480644]","[0.604448139667511, 0.6853697896003723, -0.06520585715770721]","[0.6438789963722229, 0.6471350193023682, -0.08918116241693497]","[0.6198394894599915, 0.5813431143760681, -0.015384053811430931]","[0.5926597714424133, 0.4590380787849426, -0.047602828592061996]","[0.5747842788696289, 0.38605964183807373, -0.06613098084926605]","[0.5644640326499939, 0.32040005922317505, -0.07984685152769089]","[0.6715025305747986, 0.5837488174438477, -0.036890313029289246]","[0.677780032157898, 0.44056278467178345, -0.070250004529953]","[0.672853410243988, 0.3487848937511444, -0.08675223588943481]","[0.6742783188819885, 0.27387505769729614, -0.09790628403425217]","[0.7157004475593567, 0.6230417490005493, -0.0646616742014885]","[0.7085581421852112, 0.5390142798423767, -0.09936943650245667]","[0.671069324016571, 0.6165456771850586, -0.09207705408334732]","[0.6519007086753845, 0.6840952038764954, -0.08058778196573257]","[0.7505083084106445, 0.6836973428726196, -0.09827905893325806]","[0.7232706546783447, 0.6401762366294861, -0.122992143034935]","[0.6863436698913574, 0.6950222253799438, -0.11835977435112]","[0.6635916233062744, 0.7467367649078369, -0.10968691110610962]"
"[0.6676545143127441, 0.8763710856437683, 0.0]","[0.6118624806404114, 0.8262655735015869, -0.017817692831158638]","[0.5802226066589355, 0.7450354099273682, -0.0382709726691246]","[0.5966582298278809, 0.6855093240737915, -0.06464383751153946]","[0.637153148651123, 0.6461206674575806, -0.08883996307849884]","[0.6098637580871582, 0.5797000527381897, -0.013544834218919277]","[0.5832647681236267, 0.4582662582397461, -0.044841308146715164]","[0.5650673508644104, 0.38586917519569397, -0.06253853440284729]","[0.5548297166824341, 0.32091784477233887, -0.0757799744606018]","[0.6604891419410706, 0.5829503536224365, -0.03584146127104759]","[0.6670866012573242, 0.4396754205226898, -0.0688302144408226]","[0.6614331603050232, 0.3485007882118225, -0.0846729725599289]","[0.6630547046661377, 0.27398866415023804, -0.095154769718647]","[0.7044051885604858, 0.6217759847640991, -0.06439819186925888]","[0.6974702477455139, 0.5351950526237488, -0.09862767159938812]","[0.6603366732597351, 0.6153366565704346, -0.08993259817361832]","[0.6426929235458374, 0.6846978068351746, -0.07752928137779236]","[0.7395071983337402, 0.6815629005432129, -0.09875408560037613]","[0.7114092111587524, 0.6337491273880005, -0.12243752926588058]","[0.6757064461708069, 0.6900890469551086, -0.11643751710653305]","[0.6548978686332703, 0.743392288684845, -0.10699556022882462]"
"[0.6603419780731201, 0.8744122982025146, 0.0]","[0.6053010821342468, 0.8262850046157837, -0.019867466762661934]","[0.573822021484375, 0.7479123473167419, -0.041414227336645126]","[0.5854129791259766, 0.6882294416427612, -0.06841465830802917]","[0.6235331892967224, 0.6472581624984741, -0.09334112703800201]","[0.6031432151794434, 0.5817621350288391, -0.01868986152112484]","[0.5752187371253967, 0.45886021852493286, -0.04865725710988045]","[0.556264340877533, 0.3869417905807495, -0.06436657905578613]","[0.5453755259513855, 0.32223182916641235, -0.07690075039863586]","[0.6532777547836304, 0.5847810506820679, -0.04089080169796944]","[0.6609834432601929, 0.4422854781150818, -0.07417851686477661]","[0.655782163143158, 0.35187819600105286, -0.08912939578294754]","[0.656419038772583, 0.2752380073070526, -0.09904199838638306]","[0.696554958820343, 0.622178852558136, -0.06904654949903488]","[0.6881149411201477, 0.5285464525222778, -0.10457878559827805]","[0.6514002084732056, 0.6133909821510315, -0.095614954829216]","[0.632962703704834, 0.6845583319664001, -0.08314719796180725]","[0.7303928136825562, 0.6800119876861572, -0.10293134301900864]","[0.7018455862998962, 0.632606029510498, -0.12818095088005066]","[0.6677320003509521, 0.6893896460533142, -0.12267665565013885]","[0.647203803062439, 0.7404385805130005, -0.11365629732608795]"
"[0.6533494591712952, 0.8719123601913452, 0.0]","[0.597616970539093, 0.8233641386032104, -0.01708354614675045]","[0.5642392635345459, 0.7440613508224487, -0.0370146818459034]","[0.5751593708992004, 0.6849654912948608, -0.06273491680622101]","[0.6140595078468323, 0.6485388875007629, -0.0861666202545166]","[0.5945597887039185, 0.5810021758079529, -0.014114191755652428]","[0.5662092566490173, 0.45876067876815796, -0.042667023837566376]","[0.5470627546310425, 0.3881343603134155, -0.05791369080543518]","[0.5365570187568665, 0.32396969199180603, -0.07017678767442703]","[0.6442540884017944, 0.5824469327926636, -0.03670492768287659]","[0.6498897671699524, 0.4428887665271759, -0.06837770342826843]","[0.6454878449440002, 0.35256287455558777, -0.08285091817378998]","[0.6476107239723206, 0.2753278911113739, -0.09266585111618042]","[0.6873384118080139, 0.6183066964149475, -0.06514175981283188]","[0.6779698133468628, 0.5316985845565796, -0.09787941724061966]","[0.6420789361000061, 0.6140996813774109, -0.08879457414150238]","[0.6242756247520447, 0.6830911040306091, -0.07677514106035233]","[0.7202662825584412, 0.6750515699386597, -0.09925941377878189]","[0.6917591094970703, 0.6339207887649536, -0.12146059423685074]","[0.6571863293647766, 0.6899304986000061, -0.11562495678663254]","[0.6361106634140015, 0.7402356266975403, -0.10692591965198517]"
"[0.6428825259208679, 0.8696370124816895, 0.0]","[0.5888431668281555, 0.8221601843833923, -0.016680466011166573]","[0.5552626252174377, 0.7437425255775452, -0.03648245334625244]","[0.5642149448394775, 0.6839003562927246, -0.06228713318705559]","[0.6017845869064331, 0.6444247961044312, -0.08602719753980637]","[0.5862210988998413, 0.5802900791168213, -0.01371112372726202]","[0.5558364391326904, 0.4604398012161255, -0.04238990694284439]","[0.5368636846542358, 0.38996994495391846, -0.057943426072597504]","[0.5259508490562439, 0.32563328742980957, -0.07028180360794067]","[0.635258138179779, 0.5818037390708923, -0.036198683083057404]","[0.6403605937957764, 0.4426298141479492, -0.06758349388837814]","[0.6354593634605408, 0.3521120250225067, -0.08258548378944397]","[0.637279212474823, 0.27594122290611267, -0.09276143461465836]","[0.6782393455505371, 0.6177603602409363, -0.06450918316841125]","[0.6644189357757568, 0.5305879712104797, -0.09832345694303513]","[0.6282910108566284, 0.6106925010681152, -0.09051939100027084]","[0.6119123101234436, 0.6796085834503174, -0.07884218543767929]","[0.7118483185768127, 0.6739158630371094, -0.09819991886615753]","[0.6800969243049622, 0.6291577816009521, -0.12212932109832764]","[0.645763099193573, 0.6827712059020996, -0.1170707494020462]","[0.6260818243026733, 0.7326176166534424, -0.10839994251728058]"
"[0.6355801820755005, 0.8696931004524231, 0.0]","[0.5808451771736145, 0.8229178190231323, -0.015777038410305977]","[0.5452286601066589, 0.7424055933952332, -0.03507347032427788]","[0.5531561970710754, 0.6797105073928833, -0.060499854385852814]","[0.5882061123847961, 0.635387659072876, -0.08359512686729431]","[0.5767039656639099, 0.5801965594291687, -0.010665238834917545]","[0.547061026096344, 0.46152448654174805, -0.039756447076797485]","[0.5282644033432007, 0.3920115828514099, -0.05624399334192276]","[0.5166972279548645, 0.3290517032146454, -0.06884753704071045]","[0.6246723532676697, 0.5814077854156494, -0.032809291034936905]","[0.6287854909896851, 0.4429786503314972, -0.06366109102964401]","[0.6243285536766052, 0.352524071931839, -0.07939790189266205]","[0.62581467628479, 0.2776472270488739, -0.09018871933221817]","[0.6668186783790588, 0.6172992587089539, -0.06091375648975372]","[0.6527788043022156, 0.5374578237533569, -0.09345529228448868]","[0.6175621151924133, 0.6119154095649719, -0.08673324435949326]","[0.6009204983711243, 0.6779793500900269, -0.07587051391601562]","[0.6999301910400391, 0.6734493970870972, -0.09439302980899811]","[0.6694518327713013, 0.6313028931617737, -0.11703193932771683]","[0.6350165605545044, 0.6828042268753052, -0.11233755946159363]","[0.614351212978363, 0.7329792976379395, -0.10404998064041138]"
"[0.6257665157318115, 0.8695741295814514, 0.0]","[0.5708661079406738, 0.8237387537956238, -0.016437320038676262]","[0.5355664491653442, 0.7424924969673157, -0.036057692021131516]","[0.5421978831291199, 0.6767300963401794, -0.06166509911417961]","[0.5797977447509766, 0.6324561238288879, -0.08511381596326828]","[0.5672779679298401, 0.5821174383163452, -0.012051510624587536]","[0.536771833896637, 0.4634936451911926, -0.03941228613257408]","[0.5163481831550598, 0.394275963306427, -0.05366998165845871]","[0.5035692453384399, 0.3320620059967041, -0.06541990488767624]","[0.6160364151000977, 0.5839595794677734, -0.034704964607954025]","[0.6195700168609619, 0.4457610249519348, -0.06487581878900528]","[0.613434910774231, 0.3574807643890381, -0.07849127799272537]","[0.6129799485206604, 0.2827065885066986, -0.08791109174489975]","[0.6585427522659302, 0.6202608346939087, -0.06334280222654343]","[0.6417297124862671, 0.527958869934082, -0.09644505381584167]","[0.6075050830841064, 0.6098650693893433, -0.08766750246286392]","[0.590934157371521, 0.6793012619018555, -0.07579997181892395]","[0.6905068755149841, 0.6769704222679138, -0.09733085334300995]","[0.6546357274055481, 0.6339560151100159, -0.12098889797925949]","[0.6218865513801575, 0.6869282722473145, -0.1158672496676445]","[0.6030627489089966, 0.7344492673873901, -0.10746968537569046]"
"[0.617062509059906, 0.8667669296264648, 0.0]","[0.5607075691223145, 0.8221341371536255, -0.0195134487003088]","[0.5251872539520264, 0.7408850789070129, -0.03979819267988205]","[0.5301046967506409, 0.674773097038269, -0.0652485191822052]","[0.5687416195869446, 0.6316325068473816, -0.08880307525396347]","[0.5588129758834839, 0.5825517177581787, -0.016323456540703773]","[0.5279789566993713, 0.4631868004798889, -0.0418114960193634]","[0.5071981549263, 0.39413994550704956, -0.05325356498360634]","[0.4947452247142792, 0.33331432938575745, -0.06349170207977295]","[0.6083630323410034, 0.5844905972480774, -0.03832929581403732]","[0.610621988773346, 0.44605767726898193, -0.06796182692050934]","[0.6033234000205994, 0.3574463129043579, -0.07966727763414383]","[0.6025874018669128, 0.282511830329895, -0.08756324648857117]","[0.651394784450531, 0.6200429797172546, -0.06633202731609344]","[0.6323000192642212, 0.523379921913147, -0.10053648799657822]","[0.5974389910697937, 0.6097159385681152, -0.09118632972240448]","[0.5809316039085388, 0.6816043853759766, -0.07855860888957977]","[0.6828612089157104, 0.675894021987915, -0.09980810433626175]","[0.6437819600105286, 0.6353074312210083, -0.12476352602243423]","[0.6112989783287048, 0.6916788220405579, -0.11979682743549347]","[0.5942527651786804, 0.7396527528762817, -0.11123804748058319]"
